,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,0.0,0.0,68000.0,0.0,0.0,0.0
1,0.0,0.0,68000.0,0.0,0.0,0.0
2,0.0,0.0,68000.0,0.0,0.0,0.0
3,0.0,0.0,68000.0,0.0,0.0,0.0
4,0.0,0.0,68000.0,0.0,0.0,0.0
5,9286.963651855262,0.0,58713.03634814474,0.0,0.0,9286.963651855262
6,0.0,0.0,68000.0,0.0,0.0,0.0
7,0.0,725.9851393824126,67274.0148606176,0.0,0.0,725.9851393824126
8,0.0,8907.01899634629,59092.98100365371,0.0,0.0,8907.01899634629
9,8230.403325257832,28319.42460725593,31450.172067486237,0.0,0.0,36549.82793251376
10,7560.067729790768,52641.513014666976,7798.419255542256,0.0,0.0,60201.580744457744
11,0.0,49230.076875425075,18769.923124574925,0.0,0.0,49230.076875425075
12,19168.15560938564,39783.46109654795,9048.383294066407,0.0,0.0,58951.61670593359
13,42570.760733717216,39719.465766825255,0.0,0.0,0.0,82290.22650054247
14,398992.00894435204,24856.405456601362,0.0,0.0,0.0,423848.4144009534
15,353939.9668609558,48694.391402479785,0.0,0.0,0.0,402634.3582634356
16,557601.6610123724,5494.52852119972,0.0,0.0,0.0,563096.1895335721
17,583407.6544610589,0.0,0.0,0.0,0.0,583407.6544610589
18,480663.26029754884,0.0,0.0,0.0,0.0,480663.26029754884
19,277232.78288040444,0.0,0.0,0.0,0.0,277232.78288040444
20,262304.4974739325,0.0,0.0,0.0,0.0,262304.4974739325
21,163033.43123004652,0.0,0.0,0.0,0.0,163033.43123004652
22,80609.1475642917,0.0,0.0,0.0,0.0,80609.1475642917
23,149053.038255312,0.0,0.0,0.0,0.0,149053.038255312
24,72899.61259401035,0.0,0.0,0.0,0.0,72899.61259401035
25,38345.67405772473,0.0,29654.325942275267,0.0,0.0,38345.67405772473
26,237.07725476485294,0.0,67762.92274523515,0.0,0.0,237.07725476485294
27,15597.835910297348,0.0,52402.16408970265,0.0,0.0,15597.835910297348
28,3445.399390968375,0.0,64554.60060903162,0.0,0.0,3445.399390968375
29,4132.896991583427,0.0,63867.103008416576,0.0,0.0,4132.896991583427
30,3949.5642980860835,0.0,64050.43570191391,0.0,0.0,3949.5642980860835
31,53417.65680459161,13983.567814772494,598.775380635896,0.0,0.0,67401.2246193641
32,68103.21465354928,53595.96748317204,0.0,0.0,0.0,121699.18213672133
33,53150.37667505544,57826.816499100416,0.0,0.0,0.0,110977.19317415587
34,2380.935641338829,53915.50980734964,11703.554551311528,0.0,0.0,56296.44544868847
35,0.0,50182.15739583034,17817.84260416966,0.0,0.0,50182.15739583034
36,0.0,50308.502191757085,17691.497808242915,0.0,0.0,50308.502191757085
37,0.0,53230.27459287021,14769.725407129787,0.0,0.0,53230.27459287021
38,0.0,55000.18489642613,12999.81510357387,0.0,0.0,55000.18489642613
39,0.0,46735.77286207012,21264.227137929884,0.0,0.0,46735.77286207012
40,27579.936019398905,5103.890119606414,35316.17386099468,0.0,0.0,32683.82613900532
41,7502.252716617249,0.0,60497.74728338275,0.0,0.0,7502.252716617249
42,0.0,0.0,68000.0,0.0,0.0,0.0
43,0.0,0.0,68000.0,0.0,0.0,0.0
44,0.0,0.0,68000.0,0.0,0.0,0.0
45,0.0,0.0,68000.0,0.0,0.0,0.0
46,6119.696464314301,0.0,61880.3035356857,0.0,0.0,6119.696464314301
47,2555.9916158933543,0.0,65444.008384106644,0.0,0.0,2555.9916158933543
48,10642.652510772597,0.0,57357.3474892274,0.0,0.0,10642.652510772597
49,24249.542462809528,0.0,43750.45753719047,0.0,0.0,24249.542462809528
50,27085.957400432246,0.0,40914.04259956775,0.0,0.0,27085.957400432246
51,19985.71643379229,0.0,48014.28356620771,0.0,0.0,19985.71643379229
52,4946.488183958272,0.0,63053.511816041726,0.0,0.0,4946.488183958272
53,0.0,0.0,68000.0,0.0,0.0,0.0
54,0.0,0.0,68000.0,0.0,0.0,0.0
55,47603.98435685097,14100.598607327047,6295.417035821985,0.0,0.0,61704.582964178015
56,0.0,53562.70953127448,14437.290468725521,0.0,0.0,53562.70953127448
57,0.0,58255.239634640886,9744.760365359114,0.0,0.0,58255.239634640886
58,0.0,54261.191896057884,13738.808103942116,0.0,0.0,54261.191896057884
59,2053.4507364244582,50707.429222976556,15239.120040598988,0.0,0.0,52760.87995940101
60,0.0,51080.742756800326,16919.257243199674,0.0,0.0,51080.742756800326
61,4525.163325371086,54982.7727743057,8492.06390032322,0.0,0.0,59507.93609967678
62,9102.009998877866,57681.11797978445,1216.87202133768,0.0,0.0,66783.12797866232
63,8325.765597653228,51296.416842611194,8377.81755973558,0.0,0.0,59622.18244026442
64,55664.40661255402,6500.864545878043,5834.728841567936,0.0,0.0,62165.271158432064
65,0.0,0.0,68000.0,0.0,0.0,0.0
66,0.0,0.0,68000.0,0.0,0.0,0.0
67,0.0,0.0,68000.0,0.0,0.0,0.0
68,0.0,0.0,68000.0,0.0,0.0,0.0
69,0.0,0.0,68000.0,0.0,0.0,0.0
70,0.0,0.0,68000.0,0.0,0.0,0.0
71,0.0,0.0,68000.0,0.0,0.0,0.0
72,0.0,0.0,68000.0,0.0,0.0,0.0
73,0.0,0.0,68000.0,0.0,0.0,0.0
74,0.0,0.0,68000.0,0.0,0.0,0.0
75,0.0,0.0,68000.0,0.0,0.0,0.0
76,0.0,0.0,68000.0,0.0,0.0,0.0
77,0.0,0.0,68000.0,0.0,0.0,0.0
78,0.0,0.0,68000.0,0.0,0.0,0.0
79,0.0,5397.757284109517,62602.24271589048,0.0,0.0,5397.757284109517
80,0.0,53555.40299176507,14444.59700823493,0.0,0.0,53555.40299176507
81,0.0,57800.29301812566,10199.70698187434,0.0,0.0,57800.29301812566
82,0.0,54067.3577203556,13932.642279644402,0.0,0.0,54067.3577203556
83,0.0,50244.52604801575,17755.473951984248,0.0,0.0,50244.52604801575
84,0.0,50175.12766695139,17824.87233304861,0.0,0.0,50175.12766695139
85,0.0,53048.19139139313,14951.808608606872,0.0,0.0,53048.19139139313
86,0.0,54365.81846620205,13634.18153379795,0.0,0.0,54365.81846620205
87,0.0,46087.724032679565,21912.275967320435,0.0,0.0,46087.724032679565
88,0.0,4560.007585609092,63439.99241439091,0.0,0.0,4560.007585609092
89,0.0,0.0,68000.0,0.0,0.0,0.0
90,0.0,0.0,68000.0,0.0,0.0,0.0
91,0.0,0.0,68000.0,0.0,0.0,0.0
92,0.0,0.0,68000.0,0.0,0.0,0.0
93,0.0,0.0,68000.0,0.0,0.0,0.0
94,0.0,0.0,68000.0,0.0,0.0,0.0
95,0.0,0.0,68000.0,0.0,0.0,0.0
96,0.0,0.0,68000.0,0.0,0.0,0.0
97,0.0,0.0,68000.0,0.0,0.0,0.0
98,0.0,0.0,68000.0,0.0,0.0,0.0
99,0.0,0.0,68000.0,0.0,0.0,0.0
100,0.0,0.0,68000.0,0.0,0.0,0.0
101,0.0,0.0,68000.0,0.0,0.0,0.0
102,0.0,0.0,68000.0,0.0,0.0,0.0
103,0.0,12493.613418923916,55506.38658107608,0.0,0.0,12493.613418923916
104,0.0,49084.429318755676,18915.570681244324,0.0,0.0,49084.429318755676
105,0.0,55055.798959306,12944.201040694003,0.0,0.0,55055.798959306
106,0.0,51795.01085819733,16204.989141802667,0.0,0.0,51795.01085819733
107,0.0,48483.93014162764,19516.069858372357,0.0,0.0,48483.93014162764
108,0.0,48722.41294609243,19277.58705390757,0.0,0.0,48722.41294609243
109,0.0,51856.439854044496,16143.560145955504,0.0,0.0,51856.439854044496
110,0.0,27959.317295027315,40040.682704972685,0.0,0.0,27959.317295027315
111,0.0,37041.45158005323,30958.54841994677,0.0,0.0,37041.45158005323
112,0.0,885.309620429344,67114.69037957066,0.0,0.0,885.309620429344
113,0.0,0.0,68000.0,0.0,0.0,0.0
114,0.0,0.0,68000.0,0.0,0.0,0.0
115,0.0,0.0,68000.0,0.0,0.0,0.0
116,0.0,0.0,68000.0,0.0,0.0,0.0
117,3692.2179268593286,0.0,64307.78207314067,0.0,0.0,3692.2179268593286
118,81788.6702797036,0.0,0.0,0.0,0.0,81788.6702797036
119,21308.789307084597,0.0,46691.2106929154,0.0,0.0,21308.789307084597
120,476.75320374645844,0.0,67523.24679625354,0.0,0.0,476.75320374645844
121,0.0,0.0,68000.0,0.0,0.0,0.0
122,0.0,0.0,68000.0,0.0,0.0,0.0
123,8530.311215386513,0.0,59469.688784613485,0.0,0.0,8530.311215386513
124,6791.61502876896,0.0,61208.38497123104,0.0,0.0,6791.61502876896
125,17272.457145769302,0.0,50727.5428542307,0.0,0.0,17272.457145769302
126,469932.2957036204,0.0,0.0,0.0,0.0,469932.2957036204
127,94318.87278326855,12373.365272189485,0.0,0.0,0.0,106692.23805545804
128,186618.0715503553,49803.79887633829,0.0,0.0,0.0,236421.87042669358
129,99541.92745971243,56443.39129349262,0.0,0.0,0.0,155985.31875320507
130,370346.41255255794,52677.01511930521,0.0,0.0,0.0,423023.4276718632
131,420693.1836848537,49188.43285705174,0.0,0.0,0.0,469881.61654190545
132,493868.8050703594,8360.43656256309,0.0,0.0,0.0,502229.2416329225
133,481701.0036507612,34602.682342763066,0.0,0.0,0.0,516303.68599352427
134,1166.8580598476533,36471.63899754123,30361.502942611114,0.0,0.0,37638.497057388886
135,124524.42510060366,5559.0510012857,0.0,0.0,0.0,130083.47610188936
136,154382.84801509348,7020.058027204705,0.0,0.0,0.0,161402.9060422982
137,123912.69544289728,0.0,0.0,0.0,0.0,123912.69544289728
138,428368.1301522527,0.0,0.0,0.0,0.0,428368.1301522527
139,366302.55083319155,0.0,0.0,0.0,0.0,366302.55083319155
140,84899.81464131117,0.0,0.0,0.0,0.0,84899.81464131117
141,47480.5969130873,0.0,20519.403086912702,0.0,0.0,47480.5969130873
142,3812.496560062856,0.0,64187.50343993714,0.0,0.0,3812.496560062856
143,75299.52080379165,0.0,0.0,0.0,0.0,75299.52080379165
144,10360.165354998015,0.0,57639.83464500199,0.0,0.0,10360.165354998015
145,16198.128299189555,0.0,51801.87170081044,0.0,0.0,16198.128299189555
146,111409.78405329888,0.0,0.0,0.0,0.0,111409.78405329888
147,66168.3070579442,0.0,1831.6929420558008,0.0,0.0,66168.3070579442
148,52064.52107599972,0.0,15935.47892400028,0.0,0.0,52064.52107599972
149,66593.17496644023,0.0,1406.8250335597695,0.0,0.0,66593.17496644023
150,97189.99979201716,0.0,0.0,0.0,0.0,97189.99979201716
151,163206.95561659324,12458.915577279004,0.0,0.0,0.0,175665.87119387224
152,410943.61138529406,51014.20549401348,0.0,0.0,0.0,461957.81687930756
153,253749.53755951987,56701.944704877875,0.0,0.0,0.0,310451.4822643977
154,24410.49560723099,53290.78225374367,0.0,0.0,0.0,77701.27786097466
155,7056.714955861686,49923.98403425275,11019.30100988556,0.0,0.0,56980.69899011444
156,6745.984363856687,50129.33408778461,11124.681548358698,0.0,0.0,56875.3184516413
157,69880.64063710783,53190.35305046344,0.0,0.0,0.0,123070.99368757127
158,552272.3558467908,41244.72083990873,0.0,0.0,0.0,593517.0766866995
159,408427.10185808234,48906.0269109989,0.0,0.0,0.0,457333.12876908126
160,435454.96057408175,4851.886507904993,0.0,0.0,0.0,440306.8470819867
161,1158.5448569520777,0.0,66841.45514304792,0.0,0.0,1158.5448569520777
162,5789.680375160546,0.0,62210.31962483945,0.0,0.0,5789.680375160546
163,31042.037737940504,0.0,36957.9622620595,0.0,0.0,31042.037737940504
164,69561.26357600465,0.0,0.0,0.0,0.0,69561.26357600465
165,53339.99542709225,0.0,14660.004572907746,0.0,0.0,53339.99542709225
166,3485.925831329863,0.0,64514.07416867014,0.0,0.0,3485.925831329863
167,90596.48240600298,0.0,0.0,0.0,0.0,90596.48240600298
168,45940.77341500484,0.0,22059.22658499516,0.0,0.0,45940.77341500484
169,0.0,0.0,68000.0,0.0,0.0,0.0
170,2547.1280088675035,0.0,65452.871991132495,0.0,0.0,2547.1280088675035
171,13436.800723740791,0.0,54563.19927625921,0.0,0.0,13436.800723740791
172,45726.66146226622,0.0,22273.338537733784,0.0,0.0,45726.66146226622
173,13794.2785020425,0.0,54205.7214979575,0.0,0.0,13794.2785020425
174,21930.332906770072,0.0,46069.66709322993,0.0,0.0,21930.332906770072
175,28882.41249226614,13147.900395462872,25969.687112270985,0.0,0.0,42030.312887729015
176,40037.793134492356,50126.18913285403,0.0,0.0,0.0,90163.98226734638
177,87903.9809526335,54363.54192004762,0.0,0.0,0.0,142267.52287268112
178,61520.85653830326,51275.93097139824,0.0,0.0,0.0,112796.7875097015
179,25170.218307575036,47841.11223779382,0.0,0.0,0.0,73011.33054536887
180,11448.512476168908,47898.249583248544,8653.237940582549,0.0,0.0,59346.76205941745
181,0.0,50648.60198637045,17351.39801362955,0.0,0.0,50648.60198637045
182,0.0,52321.3789171162,15678.621082883801,0.0,0.0,52321.3789171162
183,0.0,45251.53474801444,22748.46525198556,0.0,0.0,45251.53474801444
184,0.0,7072.740503543552,60927.25949645645,0.0,0.0,7072.740503543552
185,4422.604267695573,0.0,63577.39573230443,0.0,0.0,4422.604267695573
186,9441.899978356,0.0,58558.100021644,0.0,0.0,9441.899978356
187,11815.324797563735,0.0,56184.675202436265,0.0,0.0,11815.324797563735
188,0.0,0.0,68000.0,0.0,0.0,0.0
189,0.0,0.0,68000.0,0.0,0.0,0.0
190,0.0,0.0,68000.0,0.0,0.0,0.0
191,0.0,0.0,68000.0,0.0,0.0,0.0
192,31537.350892591276,0.0,36462.649107408724,0.0,0.0,31537.350892591276
193,24254.434848597433,0.0,43745.56515140257,0.0,0.0,24254.434848597433
194,1799.7411203885988,0.0,66200.2588796114,0.0,0.0,1799.7411203885988
195,0.0,0.0,68000.0,0.0,0.0,0.0
196,0.0,0.0,68000.0,0.0,0.0,0.0
197,6042.9987036017665,0.0,61957.00129639823,0.0,0.0,6042.9987036017665
198,0.0,0.0,68000.0,0.0,0.0,0.0
199,0.0,1741.0426932115263,66258.95730678848,0.0,0.0,1741.0426932115263
200,3975.0972284798104,49479.06470009773,14545.838071422455,0.0,0.0,53454.161928577545
201,196.36034998790328,54169.924906220185,13633.714743791912,0.0,0.0,54366.28525620809
202,0.0,51170.163583917485,16829.836416082515,0.0,0.0,51170.163583917485
203,0.0,39120.936058051666,28879.063941948334,0.0,0.0,39120.936058051666
204,0.0,37077.80544909254,30922.194550907458,0.0,0.0,37077.80544909254
205,0.0,33143.58378517614,34856.41621482386,0.0,0.0,33143.58378517614
206,0.0,27137.85345626758,40862.14654373242,0.0,0.0,27137.85345626758
207,0.0,14168.334036714077,53831.66596328592,0.0,0.0,14168.334036714077
208,0.0,690.3442519976512,67309.65574800235,0.0,0.0,690.3442519976512
209,124473.47091775463,0.0,0.0,0.0,0.0,124473.47091775463
210,98976.08227287704,0.0,0.0,0.0,0.0,98976.08227287704
211,583295.0326225632,0.0,0.0,0.0,0.0,583295.0326225632
212,584274.0691056682,0.0,0.0,0.0,0.0,584274.0691056682
213,584274.0694432561,0.0,0.0,0.0,0.0,584274.0694432561
214,584274.0701729134,0.0,0.0,0.0,0.0,584274.0701729134
215,584274.0711312464,0.0,0.0,0.0,0.0,584274.0711312464
216,584274.0704544128,0.0,0.0,0.0,0.0,584274.0704544128
217,584274.0711618097,0.0,0.0,0.0,0.0,584274.0711618097
218,584274.0696319029,0.0,0.0,0.0,0.0,584274.0696319029
219,584274.070829264,0.0,0.0,0.0,0.0,584274.070829264
220,400684.8482893004,0.0,0.0,0.0,0.0,400684.8482893004
221,232143.85503037967,0.0,0.0,0.0,0.0,232143.85503037967
222,401162.3766749649,0.0,0.0,0.0,0.0,401162.3766749649
223,464631.23302433424,14146.659355710928,0.0,0.0,0.0,478777.89238004514
224,584274.0703043343,54726.13045653988,0.0,0.0,0.0,639000.2007608742
225,584274.0709628433,59354.25247229544,0.0,0.0,0.0,643628.3234351387
226,584274.0722263443,55771.481759491166,0.0,0.0,0.0,640045.5539858354
227,584274.0713857455,52117.7177699062,0.0,0.0,0.0,636391.7891556517
228,584274.0682246689,52380.09697256935,0.0,0.0,0.0,636654.1651972382
229,584274.0761853871,56300.36141779772,0.0,0.0,0.0,640574.4376031848
230,584274.0680926202,59111.49613451987,0.0,0.0,0.0,643385.56422714
231,584274.068297583,52625.97123171468,0.0,0.0,0.0,636900.0395292977
232,584274.0687405427,1155.149110308935,0.0,0.0,0.0,585429.2178508517
233,584274.0699104394,0.0,0.0,0.0,0.0,584274.0699104394
234,584274.0706689581,0.0,0.0,0.0,0.0,584274.0706689581
235,584274.0700604371,0.0,0.0,0.0,0.0,584274.0700604371
