,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,0.0,0.0,68000.0,0.0,0.0,0.0
1,0.0,0.0,68000.0,0.0,0.0,0.0
2,0.0,0.0,68000.0,0.0,0.0,0.0
3,0.0,0.0,68000.0,0.0,0.0,0.0
4,0.0,0.0,68000.0,0.0,0.0,0.0
5,0.0,0.0,68000.0,0.0,0.0,0.0
6,7115.449099964683,0.0,60884.55090003532,0.0,0.0,7115.449099964683
7,1883.7667186074762,-0.0,66116.23328139252,0.0,0.0,1883.7667186074762
8,0.0,1325.2075675442738,66674.79243245572,0.0,0.0,1325.2075675442738
9,0.0,3536.17086640566,64463.82913359434,0.0,0.0,3536.17086640566
10,0.0,27822.608056607423,40177.39194339258,0.0,0.0,27822.608056607423
11,0.0,45372.37433872145,22627.62566127855,0.0,0.0,45372.37433872145
12,0.0,45240.62144883492,22759.37855116508,0.0,0.0,45240.62144883492
13,0.0,50885.82066154798,17114.17933845202,0.0,0.0,50885.82066154798
14,0.0,54586.78384440304,13413.216155596958,0.0,0.0,54586.78384440304
15,0.0,47372.19922972239,20627.80077027761,0.0,0.0,47372.19922972239
16,6334.3592068286125,3561.8685079072397,58103.772285264145,0.0,0.0,9896.227714735853
17,61239.29020603317,0.0,6760.709793966831,0.0,0.0,61239.29020603317
18,59478.65102707637,0.0,8521.348972923632,0.0,0.0,59478.65102707637
19,104889.39413703767,0.0,0.0,0.0,0.0,104889.39413703767
20,30511.200855028066,0.0,37488.799144971934,0.0,0.0,30511.200855028066
21,59367.76979230614,0.0,8632.230207693858,0.0,0.0,59367.76979230614
22,524426.3577322848,0.0,0.0,0.0,0.0,524426.3577322848
23,335240.3640386601,0.0,0.0,0.0,0.0,335240.3640386601
24,0.0,0.0,68000.0,0.0,0.0,0.0
25,0.0,0.0,68000.0,0.0,0.0,0.0
26,11846.515279463769,0.0,56153.48472053623,0.0,0.0,11846.515279463769
27,0.0,0.0,68000.0,0.0,0.0,0.0
28,31134.01770697887,0.0,36865.98229302113,0.0,0.0,31134.01770697887
29,51293.68766869238,0.0,16706.31233130762,0.0,0.0,51293.68766869238
30,7317.7989262101855,0.0,60682.201073789816,0.0,0.0,7317.7989262101855
31,6716.78000384541,-0.0,61283.21999615459,0.0,0.0,6716.78000384541
32,3445.6270294802957,19153.269612586773,45401.10335793293,0.0,0.0,22598.89664206707
33,0.0,32181.39522965057,35818.604770349426,0.0,0.0,32181.39522965057
34,2572.4175408349683,52331.90925946331,13095.67319970172,0.0,0.0,54904.32680029828
35,33570.27066714257,46493.1578162163,0.0,0.0,0.0,80063.42848335888
36,130803.09175642983,46071.382903861915,0.0,0.0,0.0,176874.47466029174
37,333362.80734368396,51562.56668348078,0.0,0.0,0.0,384925.37402716477
38,197022.1635940756,55653.36905515423,0.0,0.0,0.0,252675.53264922983
39,139825.29767307456,48224.820753527856,0.0,0.0,0.0,188050.11842660242
40,159766.90175642257,3659.153540559278,0.0,0.0,0.0,163426.05529698185
41,120707.38905927683,0.0,0.0,0.0,0.0,120707.38905927683
42,64264.48526865518,0.0,3735.514731344818,0.0,0.0,64264.48526865518
43,52561.85946826921,0.0,15438.140531730787,0.0,0.0,52561.85946826921
44,0.0,0.0,68000.0,0.0,0.0,0.0
45,7597.076939642155,0.0,60402.92306035785,0.0,0.0,7597.076939642155
46,138768.01947502373,0.0,0.0,0.0,0.0,138768.01947502373
47,79980.51743768496,0.0,0.0,0.0,0.0,79980.51743768496
48,460321.2154656658,0.0,0.0,0.0,0.0,460321.2154656658
49,55721.12443070865,0.0,12278.875569291347,0.0,0.0,55721.12443070865
50,0.0,0.0,68000.0,0.0,0.0,0.0
51,0.0,0.0,68000.0,0.0,0.0,0.0
52,5888.426791010257,0.0,62111.57320898974,0.0,0.0,5888.426791010257
53,134586.01177137796,0.0,0.0,0.0,0.0,134586.01177137796
54,199476.2423275823,0.0,0.0,0.0,0.0,199476.2423275823
55,153019.87652195603,-0.0,0.0,0.0,0.0,153019.87652195603
56,57802.7761431041,45542.52002240833,0.0,0.0,0.0,103345.29616551244
57,27517.841699735684,56689.68670724697,0.0,0.0,0.0,84207.52840698266
58,3591.0087584463004,52786.65347967993,11622.337761873765,0.0,0.0,56377.662238126235
59,0.0,46776.4817389126,21223.518261087404,0.0,0.0,46776.4817389126
60,0.0,46052.354931911104,21947.645068088896,0.0,0.0,46052.354931911104
61,0.0,51626.50177264578,16373.49822735422,0.0,0.0,51626.50177264578
62,0.0,55481.55590212337,12518.444097876629,0.0,0.0,55481.55590212337
63,0.0,49567.22770496907,18432.772295030933,0.0,0.0,49567.22770496907
64,0.0,4555.227498966412,63444.772501033585,0.0,0.0,4555.227498966412
65,0.0,0.0,68000.0,0.0,0.0,0.0
66,0.0,0.0,68000.0,0.0,0.0,0.0
67,584.8345122964257,0.0,67415.16548770358,0.0,0.0,584.8345122964257
68,15435.444472434256,0.0,52564.555527565746,0.0,0.0,15435.444472434256
69,6746.526598965515,0.0,61253.473401034484,0.0,0.0,6746.526598965515
70,22036.18593895244,0.0,45963.81406104756,0.0,0.0,22036.18593895244
71,47534.32434947273,0.0,20465.67565052727,0.0,0.0,47534.32434947273
72,44743.35397278867,0.0,23256.646027211333,0.0,0.0,44743.35397278867
73,45780.69587614786,0.0,22219.30412385214,0.0,0.0,45780.69587614786
74,52093.7583801173,0.0,15906.241619882698,0.0,0.0,52093.7583801173
75,50457.03847168082,0.0,17542.96152831918,0.0,0.0,50457.03847168082
76,44934.861337183625,0.0,23065.138662816375,0.0,0.0,44934.861337183625
77,28082.213270431344,0.0,39917.78672956866,0.0,0.0,28082.213270431344
78,7592.7219270296555,0.0,60407.278072970345,0.0,0.0,7592.7219270296555
79,3584.428267778553,-0.0,64415.57173222145,0.0,0.0,3584.428267778553
80,0.0,42853.11672794161,25146.88327205839,0.0,0.0,42853.11672794161
81,0.0,53469.16797346712,14530.83202653288,0.0,0.0,53469.16797346712
82,0.0,50121.24396451341,17878.756035486593,0.0,0.0,50121.24396451341
83,0.0,44387.744938729455,23612.255061270545,0.0,0.0,44387.744938729455
84,0.0,43931.44209367794,24068.557906322058,0.0,0.0,43931.44209367794
85,0.0,49177.5714143706,18822.4285856294,0.0,0.0,49177.5714143706
86,0.0,53096.17230654202,14903.827693457977,0.0,0.0,53096.17230654202
87,0.0,48217.37974143172,19782.620258568277,0.0,0.0,48217.37974143172
88,0.0,4515.331151229989,63484.66884877001,0.0,0.0,4515.331151229989
89,0.0,0.0,68000.0,0.0,0.0,0.0
90,0.0,0.0,68000.0,0.0,0.0,0.0
91,0.0,0.0,68000.0,0.0,0.0,0.0
92,0.0,0.0,68000.0,0.0,0.0,0.0
93,3926.584879167926,0.0,64073.415120832076,0.0,0.0,3926.584879167926
94,28090.972333711397,0.0,39909.0276662886,0.0,0.0,28090.972333711397
95,16906.319046906683,0.0,51093.68095309332,0.0,0.0,16906.319046906683
96,11961.707716947765,0.0,56038.29228305224,0.0,0.0,11961.707716947765
97,0.0,0.0,68000.0,0.0,0.0,0.0
98,0.0,0.0,68000.0,0.0,0.0,0.0
99,0.0,0.0,68000.0,0.0,0.0,0.0
100,0.0,0.0,68000.0,0.0,0.0,0.0
101,0.0,0.0,68000.0,0.0,0.0,0.0
102,48289.23178268508,0.0,19710.768217314922,0.0,0.0,48289.23178268508
103,19910.428141065713,-0.0,48089.57185893429,0.0,0.0,19910.428141065713
104,0.0,44003.63939712355,23996.360602876448,0.0,0.0,44003.63939712355
105,0.0,55297.21098672042,12702.78901327958,0.0,0.0,55297.21098672042
106,0.0,51596.11030171412,16403.88969828588,0.0,0.0,51596.11030171412
107,0.0,45980.417363145454,22019.582636854546,0.0,0.0,45980.417363145454
108,0.0,45402.061714214324,22597.938285785676,0.0,0.0,45402.061714214324
109,0.0,50793.52976048945,17206.47023951055,0.0,0.0,50793.52976048945
110,0.0,53595.47148988201,14404.52851011799,0.0,0.0,53595.47148988201
111,46.06181004714663,46268.01172749123,21685.92646246162,0.0,0.0,46314.07353753838
112,1693.21264617193,4151.205533335567,62155.5818204925,0.0,0.0,5844.418179507497
113,17111.746228300304,0.0,50888.253771699696,0.0,0.0,17111.746228300304
114,25971.317796294334,0.0,42028.68220370567,0.0,0.0,25971.317796294334
115,45445.05939196323,0.0,22554.94060803677,0.0,0.0,45445.05939196323
116,79462.0633865372,0.0,0.0,0.0,0.0,79462.0633865372
117,76262.65400308954,0.0,0.0,0.0,0.0,76262.65400308954
118,58999.42671727683,0.0,9000.57328272317,0.0,0.0,58999.42671727683
119,60401.60264748171,0.0,7598.397352518288,0.0,0.0,60401.60264748171
120,48015.71526400548,0.0,19984.284735994523,0.0,0.0,48015.71526400548
121,115001.66740581786,0.0,0.0,0.0,0.0,115001.66740581786
122,357820.70154628676,0.0,0.0,0.0,0.0,357820.70154628676
123,549258.3702075306,0.0,0.0,0.0,0.0,549258.3702075306
124,577808.023969424,0.0,0.0,0.0,0.0,577808.023969424
125,204603.27573043527,0.0,0.0,0.0,0.0,204603.27573043527
126,122752.83105810352,0.0,0.0,0.0,0.0,122752.83105810352
127,54541.665001780595,-0.0,13458.334998219405,0.0,0.0,54541.665001780595
128,369965.3992258691,46033.09859896871,0.0,0.0,0.0,415998.4978248378
129,233473.38969943984,57237.48088805177,0.0,0.0,0.0,290710.8705874916
130,108581.82224688215,53041.6993266459,0.0,0.0,0.0,161623.52157352807
131,42190.96022624674,46266.36325599145,0.0,0.0,0.0,88457.3234822382
132,0.0,41091.4806642267,26908.5193357733,0.0,0.0,41091.4806642267
133,0.0,39258.71923625865,28741.28076374135,0.0,0.0,39258.71923625865
134,0.0,46440.352606073575,21559.647393926425,0.0,0.0,46440.352606073575
135,0.0,44660.74828540384,23339.25171459616,0.0,0.0,44660.74828540384
136,0.0,2921.0090804737088,65078.99091952629,0.0,0.0,2921.0090804737088
137,0.0,0.0,68000.0,0.0,0.0,0.0
138,6163.7999636828745,0.0,61836.200036317125,0.0,0.0,6163.7999636828745
139,18430.657400135533,0.0,49569.34259986447,0.0,0.0,18430.657400135533
140,10241.08744249433,0.0,57758.91255750567,0.0,0.0,10241.08744249433
141,5709.477379265852,0.0,62290.52262073415,0.0,0.0,5709.477379265852
142,0.0,0.0,68000.0,0.0,0.0,0.0
143,0.0,0.0,68000.0,0.0,0.0,0.0
144,0.0,0.0,68000.0,0.0,0.0,0.0
145,25789.278738784607,0.0,42210.721261215396,0.0,0.0,25789.278738784607
146,15855.641925050551,0.0,52144.35807494945,0.0,0.0,15855.641925050551
147,83248.0097222686,0.0,0.0,0.0,0.0,83248.0097222686
148,301250.6686777884,0.0,0.0,0.0,0.0,301250.6686777884
149,165923.7209719154,0.0,0.0,0.0,0.0,165923.7209719154
150,185256.95040701758,0.0,0.0,0.0,0.0,185256.95040701758
151,0.0,-0.0,68000.0,0.0,0.0,0.0
152,3394.0234904160575,24056.28443892774,40549.6920706562,0.0,0.0,27450.3079293438
153,0.0,37127.27918642469,30872.72081357531,0.0,0.0,37127.27918642469
154,0.0,40930.781575305366,27069.218424694634,0.0,0.0,40930.781575305366
155,0.0,45113.290756828166,22886.709243171834,0.0,0.0,45113.290756828166
156,0.0,39471.54059465152,28528.459405348483,0.0,0.0,39471.54059465152
157,0.0,43078.072066773515,24921.927933226485,0.0,0.0,43078.072066773515
158,0.0,52048.77815822333,15951.22184177667,0.0,0.0,52048.77815822333
159,66886.25891407339,30616.05109633052,0.0,0.0,0.0,97502.31001040392
160,125405.75883588253,1943.043216694346,0.0,0.0,0.0,127348.80205257688
161,138909.6405670424,0.0,0.0,0.0,0.0,138909.6405670424
162,197946.03934059976,0.0,0.0,0.0,0.0,197946.03934059976
163,37622.42353845317,0.0,30377.57646154683,0.0,0.0,37622.42353845317
164,62460.023072619915,0.0,5539.976927380085,0.0,0.0,62460.023072619915
165,10470.038697820324,0.0,57529.961302179676,0.0,0.0,10470.038697820324
166,0.0,0.0,68000.0,0.0,0.0,0.0
167,0.0,0.0,68000.0,0.0,0.0,0.0
168,42294.13198649292,0.0,25705.868013507083,0.0,0.0,42294.13198649292
169,73477.25291062034,0.0,0.0,0.0,0.0,73477.25291062034
170,0.0,0.0,68000.0,0.0,0.0,0.0
171,584214.1837353257,0.0,0.0,0.0,0.0,584214.1837353257
172,520343.52340007765,0.0,0.0,0.0,0.0,520343.52340007765
173,584274.0696296804,0.0,0.0,0.0,0.0,584274.0696296804
174,584274.070285764,0.0,0.0,0.0,0.0,584274.070285764
175,543613.3530868647,-0.0,0.0,0.0,0.0,543613.3530868647
176,93172.16059475714,15200.916968380796,0.0,0.0,0.0,108373.07756313794
177,7489.113431572496,34226.41108698185,26284.475481445654,0.0,0.0,41715.524518554346
178,0.0,30210.112093408232,37789.88790659177,0.0,0.0,30210.112093408232
179,0.0,34120.99762637331,33879.00237362669,0.0,0.0,34120.99762637331
180,7399.780502114424,37293.03883641649,23307.180661469087,0.0,0.0,44692.81933853091
181,0.0,37828.20134971014,30171.798650289857,0.0,0.0,37828.20134971014
182,2277.4777606207253,32423.769441484586,33298.75279789469,0.0,0.0,34701.24720210531
183,94702.29026878337,41090.46350723236,0.0,0.0,0.0,135792.7537760157
184,239803.65372102492,3721.2612807592104,0.0,0.0,0.0,243524.91500178413
185,143395.5269145248,0.0,0.0,0.0,0.0,143395.5269145248
186,3402.8469217356023,0.0,64597.1530782644,0.0,0.0,3402.8469217356023
187,38956.70565211382,0.0,29043.294347886178,0.0,0.0,38956.70565211382
188,224195.07513040633,0.0,0.0,0.0,0.0,224195.07513040633
189,201461.04885391638,0.0,0.0,0.0,0.0,201461.04885391638
190,68609.93422717399,0.0,0.0,0.0,0.0,68609.93422717399
191,11907.559606567942,0.0,56092.44039343206,0.0,0.0,11907.559606567942
192,12840.163026224089,0.0,55159.83697377591,0.0,0.0,12840.163026224089
193,29312.122654547158,0.0,38687.87734545284,0.0,0.0,29312.122654547158
194,45268.82007584029,0.0,22731.17992415971,0.0,0.0,45268.82007584029
195,41451.210184643205,0.0,26548.789815356795,0.0,0.0,41451.210184643205
196,44451.128676961525,0.0,23548.871323038475,0.0,0.0,44451.128676961525
197,99327.77035350776,0.0,0.0,0.0,0.0,99327.77035350776
198,135831.2888345295,0.0,0.0,0.0,0.0,135831.2888345295
199,389634.56813380594,-0.0,0.0,0.0,0.0,389634.56813380594
200,584274.069306762,18553.72610399297,0.0,0.0,0.0,602827.795410755
201,566204.5329752687,53163.036986935316,0.0,0.0,0.0,619367.569962204
202,344045.26365629345,35205.16911937604,0.0,0.0,0.0,379250.4327756695
203,140375.15358623894,44227.54450389449,0.0,0.0,0.0,184602.69809013343
204,17298.16831237608,43053.629352665695,7648.202334958223,0.0,0.0,60351.79766504178
205,23559.56577688202,47668.09865447308,0.0,0.0,0.0,71227.6644313551
206,43527.42076188331,52094.904298299356,0.0,0.0,0.0,95622.32506018266
207,31050.98974052901,48909.88008943313,0.0,0.0,0.0,79960.86982996215
208,0.0,8732.01609683201,59267.98390316799,0.0,0.0,8732.01609683201
209,4069.4980402217143,0.0,63930.50195977829,0.0,0.0,4069.4980402217143
210,125764.52958638787,0.0,0.0,0.0,0.0,125764.52958638787
211,340094.35484083265,0.0,0.0,0.0,0.0,340094.35484083265
212,584274.0691304159,0.0,0.0,0.0,0.0,584274.0691304159
213,508035.1299055828,0.0,0.0,0.0,0.0,508035.1299055828
214,584274.069169483,0.0,0.0,0.0,0.0,584274.069169483
215,583970.7883216615,0.0,0.0,0.0,0.0,583970.7883216615
216,253694.0802079645,0.0,0.0,0.0,0.0,253694.0802079645
217,578069.2004598278,0.0,0.0,0.0,0.0,578069.2004598278
218,530062.7510664031,0.0,0.0,0.0,0.0,530062.7510664031
219,584274.0695050742,0.0,0.0,0.0,0.0,584274.0695050742
220,584274.0692716377,0.0,0.0,0.0,0.0,584274.0692716377
221,513233.84955659474,0.0,0.0,0.0,0.0,513233.84955659474
222,32163.287585320493,0.0,35836.71241467951,0.0,0.0,32163.287585320493
223,35495.43863514828,-0.0,32504.561364851717,0.0,0.0,35495.43863514828
224,0.0,17897.95613311606,50102.04386688394,0.0,0.0,17897.95613311606
225,0.0,35912.20147566252,32087.79852433748,0.0,0.0,35912.20147566252
226,0.0,17533.621460245588,50466.37853975441,0.0,0.0,17533.621460245588
227,0.0,23638.913037120208,44361.086962879795,0.0,0.0,23638.913037120208
228,0.0,14232.214665412796,53767.785334587206,0.0,0.0,14232.214665412796
229,0.0,12142.165134760715,55857.83486523929,0.0,0.0,12142.165134760715
230,0.0,7254.148190463166,60745.851809536834,0.0,0.0,7254.148190463166
