,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,221952.72614905625,0.0,0.0,0.0,0.0,221952.72614905625
1,156907.1969772661,0.0,0.0,0.0,0.0,156907.1969772661
2,111779.96871345838,0.0,0.0,0.0,0.0,111779.96871345838
3,66521.55395390028,0.0,1478.4460460997216,0.0,0.0,66521.55395390028
4,27375.581714918662,0.0,40624.41828508134,0.0,0.0,27375.581714918662
5,16530.850025728858,0.0,51469.149974271146,0.0,0.0,16530.850025728858
6,10975.596279415277,0.0,57024.40372058473,0.0,0.0,10975.596279415277
7,11006.989761880106,0.0,56993.010238119896,0.0,0.0,11006.989761880106
8,50998.37086377949,21365.502128508713,0.0,0.0,0.0,72363.8729922882
9,52626.18999957046,49182.63717403781,0.0,0.0,0.0,101808.82717360827
10,8961.900189205127,48621.25671664693,10416.843094147946,0.0,0.0,57583.156905852054
11,7582.623466884198,40703.43825751181,19713.938275603992,0.0,0.0,48286.06172439601
12,18777.462635201864,12936.565667266777,36285.97169753136,0.0,0.0,31714.028302468643
13,56767.70874461908,7731.353092936007,3500.938162444916,0.0,0.0,64499.061837555084
14,99497.2979160148,3129.6037247262516,0.0,0.0,0.0,102626.90164074105
15,123836.87632753277,37023.48644012245,0.0,0.0,0.0,160860.36276765523
16,155078.98020545798,758.3522235894094,0.0,0.0,0.0,155837.33242904738
17,287745.32301359554,0.0,0.0,0.0,0.0,287745.32301359554
18,393355.05305095954,0.0,0.0,0.0,0.0,393355.05305095954
19,537805.7742748008,0.0,0.0,0.0,0.0,537805.7742748008
20,560450.4087829189,0.0,0.0,0.0,0.0,560450.4087829189
21,583115.8862585383,0.0,0.0,0.0,0.0,583115.8862585383
22,584274.0690939963,0.0,0.0,0.0,0.0,584274.0690939963
23,583312.631658954,0.0,0.0,0.0,0.0,583312.631658954
24,580845.2162087432,0.0,0.0,0.0,0.0,580845.2162087432
25,575286.9969879353,0.0,0.0,0.0,0.0,575286.9969879353
26,583387.3213905036,0.0,0.0,0.0,0.0,583387.3213905036
27,584088.7469450084,0.0,0.0,0.0,0.0,584088.7469450084
28,584274.0691289065,0.0,0.0,0.0,0.0,584274.0691289065
29,583244.0828764738,0.0,0.0,0.0,0.0,583244.0828764738
30,582884.5018299979,0.0,0.0,0.0,0.0,582884.5018299979
31,547677.8935187542,0.0,0.0,0.0,0.0,547677.8935187542
32,561204.6421457209,18593.14779661495,0.0,0.0,0.0,579797.7899423358
33,447481.3102881409,45141.919965744935,0.0,0.0,0.0,492623.23025388585
34,210645.80275546992,46322.05701827616,0.0,0.0,0.0,256967.85977374608
35,113034.96926197172,39654.89712407118,0.0,0.0,0.0,152689.8663860429
36,76274.89173839503,11995.302690679178,0.0,0.0,0.0,88270.19442907421
37,71533.13607670016,41993.25231795018,0.0,0.0,0.0,113526.38839465033
38,102646.2187293217,19474.25956388348,0.0,0.0,0.0,122120.47829320517
39,128969.78636838158,2507.669928740635,0.0,0.0,0.0,131477.4562971222
40,130916.4173725828,175.90332200154583,0.0,0.0,0.0,131092.32069458434
41,126634.00066837082,0.0,0.0,0.0,0.0,126634.00066837082
42,260763.3941593827,0.0,0.0,0.0,0.0,260763.3941593827
43,274143.1745646332,0.0,0.0,0.0,0.0,274143.1745646332
44,529499.5635065507,0.0,0.0,0.0,0.0,529499.5635065507
45,517701.5065571037,0.0,0.0,0.0,0.0,517701.5065571037
46,549428.8851666381,0.0,0.0,0.0,0.0,549428.8851666381
47,575831.5589290463,0.0,0.0,0.0,0.0,575831.5589290463
48,564210.2980605935,0.0,0.0,0.0,0.0,564210.2980605935
49,532664.5446235735,0.0,0.0,0.0,0.0,532664.5446235735
50,583162.8887773277,0.0,0.0,0.0,0.0,583162.8887773277
51,580736.7353769548,0.0,0.0,0.0,0.0,580736.7353769548
52,566747.7087274794,0.0,0.0,0.0,0.0,566747.7087274794
53,557854.3439673631,0.0,0.0,0.0,0.0,557854.3439673631
54,566964.0302069061,0.0,0.0,0.0,0.0,566964.0302069061
55,540335.3040720051,0.0,0.0,0.0,0.0,540335.3040720051
56,539865.1305482434,17188.302224419556,0.0,0.0,0.0,557053.432772663
57,332513.2816702892,43872.346924642756,0.0,0.0,0.0,376385.6285949319
58,202654.93953365993,45904.950211118885,0.0,0.0,0.0,248559.8897447788
59,178206.47108146187,39930.09389874409,0.0,0.0,0.0,218136.56498020596
60,196831.04956841512,37698.86150422735,0.0,0.0,0.0,234529.91107264248
61,217721.98879318367,42869.792148535555,0.0,0.0,0.0,260591.78094171922
62,218951.32547876873,46377.43538870652,0.0,0.0,0.0,265328.76086747524
63,221063.3820656431,36831.09257372361,0.0,0.0,0.0,257894.4746393667
64,351144.3689848855,1711.8823114926342,0.0,0.0,0.0,352856.25129637815
65,473288.1033337988,0.0,0.0,0.0,0.0,473288.1033337988
66,516686.1825577061,0.0,0.0,0.0,0.0,516686.1825577061
67,578682.6586907282,0.0,0.0,0.0,0.0,578682.6586907282
68,584274.0694787262,0.0,0.0,0.0,0.0,584274.0694787262
69,584274.0708426744,0.0,0.0,0.0,0.0,584274.0708426744
70,584274.069486316,0.0,0.0,0.0,0.0,584274.069486316
71,584274.0694234035,0.0,0.0,0.0,0.0,584274.0694234035
72,584274.0693077273,0.0,0.0,0.0,0.0,584274.0693077273
73,584274.0694308173,0.0,0.0,0.0,0.0,584274.0694308173
74,584274.0694637613,0.0,0.0,0.0,0.0,584274.0694637613
75,584274.0703231246,0.0,0.0,0.0,0.0,584274.0703231246
76,584274.070747075,0.0,0.0,0.0,0.0,584274.070747075
77,584274.0700846028,0.0,0.0,0.0,0.0,584274.0700846028
78,584274.0704415912,0.0,0.0,0.0,0.0,584274.0704415912
79,584274.0694223298,0.0,0.0,0.0,0.0,584274.0694223298
80,584274.0693789461,20052.535213788386,0.0,0.0,0.0,604326.6045927345
81,584274.0708068392,47205.625459064126,0.0,0.0,0.0,631479.6962659033
82,549613.4813320346,47112.52101851241,0.0,0.0,0.0,596726.002350547
83,333601.3501553178,39531.49133016779,0.0,0.0,0.0,373132.8414854856
84,216254.05779696765,36884.21862772258,0.0,0.0,0.0,253138.27642469024
85,170460.25794674348,42638.888333169416,0.0,0.0,0.0,213099.1462799129
86,117715.31685744811,47331.368876838664,0.0,0.0,0.0,165046.6857342868
87,110812.29878818557,40085.62942253127,0.0,0.0,0.0,150897.92821071684
88,183604.56639191823,2557.203708732104,0.0,0.0,0.0,186161.77010065032
89,201620.87706811941,0.0,0.0,0.0,0.0,201620.87706811941
90,235436.996769431,0.0,0.0,0.0,0.0,235436.996769431
91,212754.9208183361,0.0,0.0,0.0,0.0,212754.9208183361
92,229471.69953409163,0.0,0.0,0.0,0.0,229471.69953409163
93,186571.86606539317,0.0,0.0,0.0,0.0,186571.86606539317
94,162719.78288467508,0.0,0.0,0.0,0.0,162719.78288467508
95,118352.02293441452,0.0,0.0,0.0,0.0,118352.02293441452
96,92513.63406351568,0.0,0.0,0.0,0.0,92513.63406351568
97,244550.13592632167,0.0,0.0,0.0,0.0,244550.13592632167
98,392396.07405724906,0.0,0.0,0.0,0.0,392396.07405724906
99,457416.7200033524,0.0,0.0,0.0,0.0,457416.7200033524
100,524093.2605044392,0.0,0.0,0.0,0.0,524093.2605044392
101,574679.8407094311,0.0,0.0,0.0,0.0,574679.8407094311
102,584274.0696688286,0.0,0.0,0.0,0.0,584274.0696688286
103,584274.0705482219,0.0,0.0,0.0,0.0,584274.0705482219
104,584274.0705743897,1134.6246163825833,0.0,0.0,0.0,585408.6951907722
105,581575.8167640922,9314.900072678058,0.0,0.0,0.0,590890.7168367703
106,410134.30800641933,46748.684957237056,0.0,0.0,0.0,456882.9929636564
107,381835.9888857202,2324.425798825188,0.0,0.0,0.0,384160.41468454537
108,327410.24885324016,7686.547380286608,0.0,0.0,0.0,335096.7962335268
109,286133.59800604166,18986.772996727785,0.0,0.0,0.0,305120.37100276945
