,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,137822.8655002469,0.0,0.0,0.0,0.0,137822.8655002469
1,145832.37201898426,0.0,0.0,0.0,0.0,145832.37201898426
2,211004.6233119147,0.0,0.0,0.0,0.0,211004.6233119147
3,324484.70931782946,0.0,0.0,0.0,0.0,324484.70931782946
4,410454.2882668317,0.0,0.0,0.0,0.0,410454.2882668317
5,331816.78198613174,0.0,0.0,0.0,0.0,331816.78198613174
6,285758.0191119065,0.0,0.0,0.0,0.0,285758.0191119065
7,202681.64955469372,-0.0,0.0,0.0,0.0,202681.64955469372
8,229134.92174327234,10589.710852132914,0.0,0.0,0.0,239724.63259540524
9,143006.37712829353,27783.179509642414,0.0,0.0,0.0,170789.55663793595
10,108259.79254756891,23865.84561817626,0.0,0.0,0.0,132125.6381657452
11,95220.50432435395,37525.85799993946,0.0,0.0,0.0,132746.3623242934
12,57586.5347781094,29464.272233609925,0.0,0.0,0.0,87050.80701171933
13,51609.43712305279,12546.498261555587,3844.064615391624,0.0,0.0,64155.935384608376
14,67056.90842879924,8856.272523863317,0.0,0.0,0.0,75913.18095266256
15,94800.35190147148,10693.992972974853,0.0,0.0,0.0,105494.34487444634
16,128786.44155297031,5896.905645804475,0.0,0.0,0.0,134683.34719877478
17,253070.76113889038,0.0,0.0,0.0,0.0,253070.76113889038
18,340535.7064675191,0.0,0.0,0.0,0.0,340535.7064675191
19,395969.23973127827,0.0,0.0,0.0,0.0,395969.23973127827
20,318613.05272138014,0.0,0.0,0.0,0.0,318613.05272138014
21,350708.2394638013,0.0,0.0,0.0,0.0,350708.2394638013
22,265726.1564182892,0.0,0.0,0.0,0.0,265726.1564182892
23,192193.86659167203,0.0,0.0,0.0,0.0,192193.86659167203
24,118874.93799527011,0.0,0.0,0.0,0.0,118874.93799527011
25,64390.06627087352,0.0,3609.933729126482,0.0,0.0,64390.06627087352
26,24302.733135645918,0.0,43697.26686435408,0.0,0.0,24302.733135645918
27,0.0,0.0,68000.0,0.0,0.0,0.0
28,0.0,0.0,68000.0,0.0,0.0,0.0
29,0.0,0.0,68000.0,0.0,0.0,0.0
30,0.0,0.0,68000.0,0.0,0.0,0.0
31,4798.243197243661,-0.0,63201.75680275634,0.0,0.0,4798.243197243661
32,11582.662159048465,41530.56100155441,14886.776839397127,0.0,0.0,53113.22316060287
33,392.6626671441437,53427.149937020935,14180.187395834924,0.0,0.0,53819.812604165076
34,5556.7256614918,42001.02606043938,20442.248278068822,0.0,0.0,47557.75172193118
35,8594.29902168243,40524.5555729764,18881.145405341173,0.0,0.0,49118.85459465883
36,16864.09726725957,38998.37059609881,12137.532136641617,0.0,0.0,55862.46786335838
37,29929.758183642967,42617.672507229836,0.0,0.0,0.0,72547.4306908728
38,37498.43416445525,51839.38579310514,0.0,0.0,0.0,89337.8199575604
39,38504.178737329334,44343.20953891806,0.0,0.0,0.0,82847.3882762474
40,58830.84159144226,5522.038178999979,3647.1202295577605,0.0,0.0,64352.87977044224
41,200853.57592243626,0.0,0.0,0.0,0.0,200853.57592243626
42,323765.60899538634,0.0,0.0,0.0,0.0,323765.60899538634
43,300831.0037392334,0.0,0.0,0.0,0.0,300831.0037392334
44,348682.24681235413,0.0,0.0,0.0,0.0,348682.24681235413
45,327150.95209117583,0.0,0.0,0.0,0.0,327150.95209117583
46,491065.02495603974,0.0,0.0,0.0,0.0,491065.02495603974
47,501746.803107977,0.0,0.0,0.0,0.0,501746.803107977
48,518710.8164101016,0.0,0.0,0.0,0.0,518710.8164101016
49,556926.7778880671,0.0,0.0,0.0,0.0,556926.7778880671
50,577181.3547321166,0.0,0.0,0.0,0.0,577181.3547321166
51,522376.44601991813,0.0,0.0,0.0,0.0,522376.44601991813
52,451752.95345133054,0.0,0.0,0.0,0.0,451752.95345133054
53,433597.91098594957,0.0,0.0,0.0,0.0,433597.91098594957
54,463579.5426147293,0.0,0.0,0.0,0.0,463579.5426147293
55,460459.7470570852,-0.0,0.0,0.0,0.0,460459.7470570852
56,493033.4437114633,40288.41902951684,0.0,0.0,0.0,533321.8627409801
57,216459.08829572052,52829.712113201,0.0,0.0,0.0,269288.8004089215
58,57633.87264891046,51377.36583146522,0.0,0.0,0.0,109011.23848037567
59,24399.701213337525,46648.005377818285,0.0,0.0,0.0,71047.70659115582
60,26884.577946487567,45648.85978128187,0.0,0.0,0.0,72533.43772776943
61,145463.595681338,49507.30384690074,0.0,0.0,0.0,194970.89952823872
62,240200.52330180086,52015.2092028217,0.0,0.0,0.0,292215.73250462255
63,170972.90107170117,44037.301713954694,0.0,0.0,0.0,215010.20278565586
64,321216.87829994486,5645.049867773962,0.0,0.0,0.0,326861.9281677188
65,413685.6451742867,0.0,0.0,0.0,0.0,413685.6451742867
66,487234.52518797753,0.0,0.0,0.0,0.0,487234.52518797753
67,584058.0650289734,0.0,0.0,0.0,0.0,584058.0650289734
68,573344.6894131552,0.0,0.0,0.0,0.0,573344.6894131552
69,548398.1580665588,0.0,0.0,0.0,0.0,548398.1580665588
70,517701.95740357414,0.0,0.0,0.0,0.0,517701.95740357414
71,425032.2050563201,0.0,0.0,0.0,0.0,425032.2050563201
72,468474.10962871683,0.0,0.0,0.0,0.0,468474.10962871683
73,366683.85976378666,0.0,0.0,0.0,0.0,366683.85976378666
74,347464.82968816784,0.0,0.0,0.0,0.0,347464.82968816784
75,289006.9359538115,0.0,0.0,0.0,0.0,289006.9359538115
76,260558.23099172578,0.0,0.0,0.0,0.0,260558.23099172578
77,264309.94782388455,0.0,0.0,0.0,0.0,264309.94782388455
78,338019.35412094573,0.0,0.0,0.0,0.0,338019.35412094573
79,364353.4476782483,-0.0,0.0,0.0,0.0,364353.4476782483
80,385285.7602505875,39973.17850060003,0.0,0.0,0.0,425258.9387511875
81,196853.91450646045,53224.212299574596,0.0,0.0,0.0,250078.12680603506
82,65117.444848517596,52035.086199806436,0.0,0.0,0.0,117152.53104832403
83,108530.78970480882,47160.90768918839,0.0,0.0,0.0,155691.69739399722
84,189936.46365519066,45839.35601250324,0.0,0.0,0.0,235775.8196676939
85,190912.0301743937,49859.6566271487,0.0,0.0,0.0,240771.6868015424
86,215224.27371875852,52626.488922080076,0.0,0.0,0.0,267850.76264083857
87,202081.0097412157,46646.87214313263,0.0,0.0,0.0,248727.88188434835
88,130850.59514237133,6797.96800193105,0.0,0.0,0.0,137648.56314430237
89,399358.661524107,0.0,0.0,0.0,0.0,399358.661524107
90,454730.2150714727,0.0,0.0,0.0,0.0,454730.2150714727
91,558910.0897173285,0.0,0.0,0.0,0.0,558910.0897173285
92,569909.8346300033,0.0,0.0,0.0,0.0,569909.8346300033
93,560010.9207300262,0.0,0.0,0.0,0.0,560010.9207300262
94,564773.3725071221,0.0,0.0,0.0,0.0,564773.3725071221
95,570463.2320749053,0.0,0.0,0.0,0.0,570463.2320749053
96,557697.9195718401,0.0,0.0,0.0,0.0,557697.9195718401
97,524180.359640335,0.0,0.0,0.0,0.0,524180.359640335
98,546714.2778885623,0.0,0.0,0.0,0.0,546714.2778885623
