,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,456890.71217945975,0.0,0.0,0.0,0.0,456890.71217945975
1,510827.9916584608,0.0,0.0,0.0,0.0,510827.9916584608
2,552604.4393529894,0.0,0.0,0.0,0.0,552604.4393529894
3,533011.8416755708,0.0,0.0,0.0,0.0,533011.8416755708
4,508613.44686896773,0.0,0.0,0.0,0.0,508613.44686896773
5,558079.5723126624,0.0,0.0,0.0,0.0,558079.5723126624
6,576246.7133202887,0.0,0.0,0.0,0.0,576246.7133202887
7,583642.8041716039,0.0,0.0,0.0,0.0,583642.8041716039
8,583494.1397335143,24661.851472683124,0.0,0.0,0.0,608155.9912061974
9,584274.070032793,46126.207971116324,0.0,0.0,0.0,630400.2780039093
10,584274.0697111795,43387.68611412136,0.0,0.0,0.0,627661.7558253008
11,580896.1949743951,35177.246332053095,0.0,0.0,0.0,616073.4413064482
12,583497.8261226149,34514.91394216025,0.0,0.0,0.0,618012.7400647751
13,584274.0702487975,12891.047605012234,0.0,0.0,0.0,597165.1178538097
14,584274.0707887702,9889.39839466407,0.0,0.0,0.0,594163.4691834343
15,584274.0697813781,1016.2480885284948,0.0,0.0,0.0,585290.3178699067
16,584274.0702672309,0.0,0.0,0.0,0.0,584274.0702672309
17,584274.0696451399,0.0,0.0,0.0,0.0,584274.0696451399
18,584274.070335228,0.0,0.0,0.0,0.0,584274.070335228
19,584274.0709916531,0.0,0.0,0.0,0.0,584274.0709916531
20,584274.0687786031,0.0,0.0,0.0,0.0,584274.0687786031
21,584274.0695489116,0.0,0.0,0.0,0.0,584274.0695489116
22,584274.0707292953,0.0,0.0,0.0,0.0,584274.0707292953
23,584274.0699036235,0.0,0.0,0.0,0.0,584274.0699036235
24,584274.0711883409,0.0,0.0,0.0,0.0,584274.0711883409
25,584274.0698021491,0.0,0.0,0.0,0.0,584274.0698021491
26,584274.0675552398,0.0,0.0,0.0,0.0,584274.0675552398
27,584274.0701111562,0.0,0.0,0.0,0.0,584274.0701111562
28,584274.0694773593,0.0,0.0,0.0,0.0,584274.0694773593
29,584274.0692393731,0.0,0.0,0.0,0.0,584274.0692393731
30,584274.0692616173,0.0,0.0,0.0,0.0,584274.0692616173
31,584274.0692657091,0.0,0.0,0.0,0.0,584274.0692657091
32,584274.0693707109,900.9639731564524,0.0,0.0,0.0,585175.0333438673
33,584274.0705113576,1727.4082413382064,0.0,0.0,0.0,586001.4787526958
34,584274.0704138124,7984.997823060099,0.0,0.0,0.0,592259.0682368726
35,584274.069411052,7645.1217892636405,0.0,0.0,0.0,591919.1912003157
36,584274.0694384841,13964.024618405263,0.0,0.0,0.0,598238.0940568894
37,584274.0692691867,7103.183555334433,0.0,0.0,0.0,591377.2528245212
38,584274.0703324169,1802.099764881676,0.0,0.0,0.0,586076.1700972986
39,584274.070827364,532.924236337198,0.0,0.0,0.0,584806.9950637012
40,584274.0708355858,0.0,0.0,0.0,0.0,584274.0708355858
41,584274.069387222,0.0,0.0,0.0,0.0,584274.069387222
42,584274.0708250997,0.0,0.0,0.0,0.0,584274.0708250997
43,584274.0707675389,0.0,0.0,0.0,0.0,584274.0707675389
44,584010.5170814635,0.0,0.0,0.0,0.0,584010.5170814635
45,583712.555414805,0.0,0.0,0.0,0.0,583712.555414805
46,579154.895194378,0.0,0.0,0.0,0.0,579154.895194378
