,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,109317.62242662693,0.0,0.0,0.0,0.0,109317.62242662693
1,128992.71543971724,0.0,0.0,0.0,0.0,128992.71543971724
2,158033.6943452732,0.0,0.0,0.0,0.0,158033.6943452732
3,255575.6973512027,0.0,0.0,0.0,0.0,255575.6973512027
4,324597.2997911828,0.0,0.0,0.0,0.0,324597.2997911828
5,383146.9102334258,0.0,0.0,0.0,0.0,383146.9102334258
6,420439.26696764235,0.0,0.0,0.0,0.0,420439.26696764235
7,405886.5136434426,2337.7952018026876,0.0,0.0,0.0,408224.3088452453
8,300025.304270963,42335.815205494,0.0,0.0,0.0,342361.119476457
9,239400.07034575945,50789.26077343023,0.0,0.0,0.0,290189.3311191897
10,214332.8422020225,47149.37001758761,0.0,0.0,0.0,261482.2122196101
11,213863.02787806513,41583.0192005601,0.0,0.0,0.0,255446.04707862524
12,309922.4421220384,42958.923622985116,0.0,0.0,0.0,352881.36574502353
13,272481.6712615075,49754.20502201157,0.0,0.0,0.0,322235.8762835191
14,285760.0671406992,51145.32501833145,0.0,0.0,0.0,336905.39215903066
15,255197.30432305223,30934.803696477662,0.0,0.0,0.0,286132.1080195299
16,331026.45825830504,0.0,0.0,0.0,0.0,331026.45825830504
17,453499.9983955643,0.0,0.0,0.0,0.0,453499.9983955643
18,469056.9217189785,0.0,0.0,0.0,0.0,469056.9217189785
19,500404.8517868695,0.0,0.0,0.0,0.0,500404.8517868695
20,583942.2372985124,0.0,0.0,0.0,0.0,583942.2372985124
21,584274.0700330811,0.0,0.0,0.0,0.0,584274.0700330811
22,583796.0551860686,0.0,0.0,0.0,0.0,583796.0551860686
23,583594.3720637506,0.0,0.0,0.0,0.0,583594.3720637506
24,573461.206700914,0.0,0.0,0.0,0.0,573461.206700914
25,568272.323400516,0.0,0.0,0.0,0.0,568272.323400516
26,583204.42011538,0.0,0.0,0.0,0.0,583204.42011538
27,583514.7308253641,0.0,0.0,0.0,0.0,583514.7308253641
28,578339.5985824426,0.0,0.0,0.0,0.0,578339.5985824426
29,570937.455770185,0.0,0.0,0.0,0.0,570937.455770185
30,582949.5043420872,0.0,0.0,0.0,0.0,582949.5043420872
31,574736.7833776978,2722.295800132546,0.0,0.0,0.0,577459.0791778304
32,584274.0694039573,729.1230767004652,0.0,0.0,0.0,585003.1924806578
