,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,180061.81467368343,0.0,0.0,0.0,0.0,180061.81467368343
1,444787.3375038607,0.0,0.0,0.0,0.0,444787.3375038607
2,167373.60422133133,0.0,0.0,0.0,0.0,167373.60422133133
3,154143.37736467822,0.0,0.0,0.0,0.0,154143.37736467822
4,101048.69987753894,0.0,0.0,0.0,0.0,101048.69987753894
5,231096.46518052934,0.0,0.0,0.0,0.0,231096.46518052934
6,174343.64434378405,0.0,0.0,0.0,0.0,174343.64434378405
7,266375.0833536786,0.0,0.0,0.0,0.0,266375.0833536786
8,224194.0692130453,2206.3404909281917,0.0,0.0,0.0,226400.40970397348
9,195928.79457681178,30599.98708409677,0.0,0.0,0.0,226528.78166090854
10,141845.8861394501,4196.101249590088,0.0,0.0,0.0,146041.98738904018
11,139831.2752953292,8142.48886481034,0.0,0.0,0.0,147973.76416013954
12,152250.7506135303,11867.19511249929,0.0,0.0,0.0,164117.9457260296
13,182715.38350029127,10770.188687213858,0.0,0.0,0.0,193485.57218750514
14,192709.16829539632,7451.285287189671,0.0,0.0,0.0,200160.453582586
15,199804.59916067342,777.6265502540883,0.0,0.0,0.0,200582.2257109275
16,230081.74173755132,17510.84466731297,0.0,0.0,0.0,247592.5864048643
17,189508.1156581584,0.0,0.0,0.0,0.0,189508.1156581584
18,397309.26421085926,0.0,0.0,0.0,0.0,397309.26421085926
19,192393.51906927887,0.0,0.0,0.0,0.0,192393.51906927887
20,262274.71094170713,0.0,0.0,0.0,0.0,262274.71094170713
21,220889.98678478604,0.0,0.0,0.0,0.0,220889.98678478604
22,279545.35060509417,0.0,0.0,0.0,0.0,279545.35060509417
23,173385.47657912,0.0,0.0,0.0,0.0,173385.47657912
24,124464.86718482464,0.0,0.0,0.0,0.0,124464.86718482464
25,108415.21138777645,0.0,0.0,0.0,0.0,108415.21138777645
26,90167.83974071611,0.0,0.0,0.0,0.0,90167.83974071611
27,114819.9555984754,0.0,0.0,0.0,0.0,114819.9555984754
28,61632.945040197155,0.0,6367.054959802845,0.0,0.0,61632.945040197155
29,57054.04721526665,0.0,10945.952784733352,0.0,0.0,57054.04721526665
30,53465.181352483276,0.0,14534.818647516724,0.0,0.0,53465.181352483276
31,28580.59433726748,0.0,39419.40566273252,0.0,0.0,28580.59433726748
32,7426.966269499536,6038.858247500056,54534.17548300041,0.0,0.0,13465.824516999592
33,0.0,24640.21792520454,43359.78207479546,0.0,0.0,24640.21792520454
34,2068.467664683119,27788.143623185384,38143.3887121315,0.0,0.0,29856.6112878685
35,11590.696027143607,40532.984688811026,15876.31928404537,0.0,0.0,52123.68071595463
36,21699.818521259953,41466.35183752814,4833.829641211909,0.0,0.0,63166.17035878809
37,16477.40222397885,38007.95689490856,13514.640881112588,0.0,0.0,54485.35911888741
38,26811.632728256252,44109.30471401895,0.0,0.0,0.0,70920.9374422752
39,35769.36375056607,54949.328611060424,0.0,0.0,0.0,90718.6923616265
40,56689.191989457344,35642.227124719335,0.0,0.0,0.0,92331.41911417668
41,96453.0616479338,0.0,0.0,0.0,0.0,96453.0616479338
42,163341.72714195139,0.0,0.0,0.0,0.0,163341.72714195139
43,180720.1800386572,0.0,0.0,0.0,0.0,180720.1800386572
44,132166.50807315818,0.0,0.0,0.0,0.0,132166.50807315818
45,167231.4854708959,0.0,0.0,0.0,0.0,167231.4854708959
46,466123.5210933769,0.0,0.0,0.0,0.0,466123.5210933769
47,567263.7560023682,0.0,0.0,0.0,0.0,567263.7560023682
48,582899.7780792586,0.0,0.0,0.0,0.0,582899.7780792586
49,572140.6877768855,0.0,0.0,0.0,0.0,572140.6877768855
50,564108.2234871344,0.0,0.0,0.0,0.0,564108.2234871344
51,550959.7631660558,0.0,0.0,0.0,0.0,550959.7631660558
52,551822.4988747914,0.0,0.0,0.0,0.0,551822.4988747914
53,518299.31883954856,0.0,0.0,0.0,0.0,518299.31883954856
54,521992.1160768504,0.0,0.0,0.0,0.0,521992.1160768504
55,502568.17994883255,0.0,0.0,0.0,0.0,502568.17994883255
56,454183.10247794277,33202.41909910298,0.0,0.0,0.0,487385.5215770457
57,162198.20378276025,55812.58401642149,0.0,0.0,0.0,218010.78779918174
58,42986.050155462035,56277.44239431442,0.0,0.0,0.0,99263.49254977645
59,46657.81820542534,52357.650948555754,0.0,0.0,0.0,99015.4691539811
