,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,0.0,0.0,68000.0,0.0,0.0,0.0
1,0.0,0.0,68000.0,0.0,0.0,0.0
2,0.0,0.0,68000.0,0.0,0.0,0.0
3,0.0,0.0,68000.0,0.0,0.0,0.0
4,0.0,0.0,68000.0,0.0,0.0,0.0
5,0.0,0.0,68000.0,0.0,0.0,0.0
6,0.0,0.0,68000.0,0.0,0.0,0.0
7,0.0,0.0,68000.0,0.0,0.0,0.0
8,0.0,22876.862972684918,45123.13702731508,0.0,0.0,22876.862972684918
9,0.0,925.9694911207889,67074.03050887921,0.0,0.0,925.9694911207889
10,0.0,2823.265960127314,65176.73403987269,0.0,0.0,2823.265960127314
11,0.0,5147.45431376552,62852.54568623448,0.0,0.0,5147.45431376552
12,0.0,5174.75060559502,62825.24939440498,0.0,0.0,5174.75060559502
13,0.0,2680.4439091700356,65319.55609082997,0.0,0.0,2680.4439091700356
14,0.0,2365.6416677658667,65634.35833223413,0.0,0.0,2365.6416677658667
15,0.0,24063.23806674645,43936.761933253554,0.0,0.0,24063.23806674645
16,0.0,0.0,68000.0,0.0,0.0,0.0
17,13832.6781911279,0.0,54167.321808872104,0.0,0.0,13832.6781911279
18,32971.792132092916,0.0,35028.207867907084,0.0,0.0,32971.792132092916
19,26733.927732016906,0.0,41266.072267983094,0.0,0.0,26733.927732016906
20,35682.727429080885,0.0,32317.272570919115,0.0,0.0,35682.727429080885
21,39656.08914793923,0.0,28343.91085206077,0.0,0.0,39656.08914793923
22,39904.24384020165,0.0,28095.75615979835,0.0,0.0,39904.24384020165
23,46175.75421860155,0.0,21824.24578139845,0.0,0.0,46175.75421860155
24,39146.7375191209,0.0,28853.2624808791,0.0,0.0,39146.7375191209
25,48974.828280415466,0.0,19025.171719584534,0.0,0.0,48974.828280415466
26,46419.15196310712,0.0,21580.84803689288,0.0,0.0,46419.15196310712
27,53355.98768151554,0.0,14644.012318484463,0.0,0.0,53355.98768151554
28,33411.63959770458,0.0,34588.36040229542,0.0,0.0,33411.63959770458
29,26132.948168560604,0.0,41867.0518314394,0.0,0.0,26132.948168560604
30,37001.13126139203,0.0,30998.86873860797,0.0,0.0,37001.13126139203
31,53297.65515448464,0.0,14702.344845515363,0.0,0.0,53297.65515448464
32,46900.90707755943,23597.875776797966,0.0,0.0,0.0,70498.7828543574
33,42323.1958131892,1189.7395342741736,24487.064652536625,0.0,0.0,43512.935347463375
34,0.0,2300.377290680368,65699.62270931964,0.0,0.0,2300.377290680368
35,0.0,5805.046322749871,62194.95367725013,0.0,0.0,5805.046322749871
36,0.0,5267.7695205455975,62732.2304794544,0.0,0.0,5267.7695205455975
37,0.0,4372.006907815493,63627.99309218451,0.0,0.0,4372.006907815493
38,0.0,2957.586308417144,65042.41369158286,0.0,0.0,2957.586308417144
39,0.0,1080.938215348441,66919.06178465155,0.0,0.0,1080.938215348441
40,0.0,0.0,68000.0,0.0,0.0,0.0
41,2311.309864185188,0.0,65688.69013581482,0.0,0.0,2311.309864185188
42,4142.513139509439,0.0,63857.486860490564,0.0,0.0,4142.513139509439
43,2536.0834613054135,0.0,65463.91653869459,0.0,0.0,2536.0834613054135
44,374.69777662220963,0.0,67625.30222337779,0.0,0.0,374.69777662220963
45,0.0,0.0,68000.0,0.0,0.0,0.0
46,0.0,0.0,68000.0,0.0,0.0,0.0
47,0.0,0.0,68000.0,0.0,0.0,0.0
48,0.0,0.0,68000.0,0.0,0.0,0.0
49,0.0,0.0,68000.0,0.0,0.0,0.0
50,0.0,0.0,68000.0,0.0,0.0,0.0
51,0.0,0.0,68000.0,0.0,0.0,0.0
52,0.0,0.0,68000.0,0.0,0.0,0.0
53,0.0,0.0,68000.0,0.0,0.0,0.0
54,0.0,0.0,68000.0,0.0,0.0,0.0
55,0.0,0.0,68000.0,0.0,0.0,0.0
56,0.0,24885.429480180606,43114.57051981939,0.0,0.0,24885.429480180606
57,0.0,46011.792107971836,21988.207892028164,0.0,0.0,46011.792107971836
58,0.0,5317.167710810414,62682.83228918959,0.0,0.0,5317.167710810414
59,0.0,8067.442516332778,59932.557483667224,0.0,0.0,8067.442516332778
60,0.0,6844.470816326598,61155.5291836734,0.0,0.0,6844.470816326598
61,0.0,42127.43546457951,25872.56453542049,0.0,0.0,42127.43546457951
62,0.0,44659.4336440771,23340.5663559229,0.0,0.0,44659.4336440771
63,0.0,25728.530935413175,42271.469064586825,0.0,0.0,25728.530935413175
64,0.0,0.0,68000.0,0.0,0.0,0.0
65,0.0,0.0,68000.0,0.0,0.0,0.0
66,0.0,0.0,68000.0,0.0,0.0,0.0
67,0.0,0.0,68000.0,0.0,0.0,0.0
68,0.0,0.0,68000.0,0.0,0.0,0.0
69,0.0,0.0,68000.0,0.0,0.0,0.0
70,0.0,0.0,68000.0,0.0,0.0,0.0
71,0.0,0.0,68000.0,0.0,0.0,0.0
72,226922.94927308144,0.0,0.0,0.0,0.0,226922.94927308144
73,537617.0961052018,0.0,0.0,0.0,0.0,537617.0961052018
74,573126.720703399,0.0,0.0,0.0,0.0,573126.720703399
75,504242.5468301588,0.0,0.0,0.0,0.0,504242.5468301588
76,436365.57190847147,0.0,0.0,0.0,0.0,436365.57190847147
77,280711.2603784469,0.0,0.0,0.0,0.0,280711.2603784469
78,311319.31967451243,0.0,0.0,0.0,0.0,311319.31967451243
79,136029.92424246133,0.0,0.0,0.0,0.0,136029.92424246133
80,114379.68506029795,23139.705179171822,0.0,0.0,0.0,137519.39023946977
81,46058.30995865197,43827.36784700453,0.0,0.0,0.0,89885.6778056565
82,8684.678553029056,41733.1492715923,17582.17217537864,0.0,0.0,50417.82782462136
83,0.0,17335.566345956504,50664.433654043496,0.0,0.0,17335.566345956504
84,0.0,33771.03704132024,34228.96295867976,0.0,0.0,33771.03704132024
85,0.0,40493.38843644206,27506.61156355794,0.0,0.0,40493.38843644206
86,0.0,43147.53821931369,24852.46178068631,0.0,0.0,43147.53821931369
87,0.0,25897.78853723186,42102.211462768144,0.0,0.0,25897.78853723186
88,0.0,0.0,68000.0,0.0,0.0,0.0
89,0.0,0.0,68000.0,0.0,0.0,0.0
90,0.0,0.0,68000.0,0.0,0.0,0.0
91,0.0,0.0,68000.0,0.0,0.0,0.0
92,0.0,0.0,68000.0,0.0,0.0,0.0
93,0.0,0.0,68000.0,0.0,0.0,0.0
94,0.0,0.0,68000.0,0.0,0.0,0.0
95,0.0,0.0,68000.0,0.0,0.0,0.0
96,0.0,0.0,68000.0,0.0,0.0,0.0
97,0.0,0.0,68000.0,0.0,0.0,0.0
98,0.0,0.0,68000.0,0.0,0.0,0.0
99,0.0,0.0,68000.0,0.0,0.0,0.0
100,0.0,0.0,68000.0,0.0,0.0,0.0
101,0.0,0.0,68000.0,0.0,0.0,0.0
102,0.0,0.0,68000.0,0.0,0.0,0.0
103,0.0,0.0,68000.0,0.0,0.0,0.0
104,0.0,405.0893580274216,67594.91064197257,0.0,0.0,405.0893580274216
105,0.0,1120.4838143218117,66879.51618567819,0.0,0.0,1120.4838143218117
106,0.0,6296.72786294491,61703.272137055086,0.0,0.0,6296.72786294491
107,0.0,7033.571237392075,60966.428762607924,0.0,0.0,7033.571237392075
108,0.0,9991.816230926293,58008.18376907371,0.0,0.0,9991.816230926293
109,0.0,2810.002688404161,65189.99731159584,0.0,0.0,2810.002688404161
110,0.0,1623.2185506728474,66376.78144932716,0.0,0.0,1623.2185506728474
111,0.0,643.5524706651707,67356.44752933482,0.0,0.0,643.5524706651707
112,0.0,0.0,68000.0,0.0,0.0,0.0
113,0.0,0.0,68000.0,0.0,0.0,0.0
114,0.0,0.0,68000.0,0.0,0.0,0.0
115,0.0,0.0,68000.0,0.0,0.0,0.0
116,0.0,0.0,68000.0,0.0,0.0,0.0
117,0.0,0.0,68000.0,0.0,0.0,0.0
118,0.0,0.0,68000.0,0.0,0.0,0.0
119,0.0,0.0,68000.0,0.0,0.0,0.0
120,0.0,0.0,68000.0,0.0,0.0,0.0
121,0.0,0.0,68000.0,0.0,0.0,0.0
122,2864.2210381828536,0.0,65135.778961817145,0.0,0.0,2864.2210381828536
123,251008.41506918558,0.0,0.0,0.0,0.0,251008.41506918558
124,275684.49659873475,0.0,0.0,0.0,0.0,275684.49659873475
125,428166.6966578378,0.0,0.0,0.0,0.0,428166.6966578378
126,377082.40856233356,0.0,0.0,0.0,0.0,377082.40856233356
127,289694.9535860999,0.0,0.0,0.0,0.0,289694.9535860999
128,304819.5661039478,22529.280005934907,0.0,0.0,0.0,327348.8461098827
129,348224.3864029346,2547.776830868865,0.0,0.0,0.0,350772.16323380347
130,206846.95056035958,12292.231898742724,0.0,0.0,0.0,219139.1824591023
131,138487.90046481125,34946.91949058774,0.0,0.0,0.0,173434.81995539897
132,95236.62754260682,34449.59874120738,0.0,0.0,0.0,129686.2262838142
133,89656.99952765861,41063.46833006728,0.0,0.0,0.0,130720.46785772589
134,71630.50901782578,43490.4694102246,0.0,0.0,0.0,115120.97842805038
135,36011.122529550004,26210.26048387725,5778.6169865727425,0.0,0.0,62221.38301342726
136,100882.62089365114,0.0,0.0,0.0,0.0,100882.62089365114
137,96281.78426581637,0.0,0.0,0.0,0.0,96281.78426581637
138,182757.0014153547,0.0,0.0,0.0,0.0,182757.0014153547
139,450545.6064797638,0.0,0.0,0.0,0.0,450545.6064797638
140,513978.08338373573,0.0,0.0,0.0,0.0,513978.08338373573
141,524598.726723658,0.0,0.0,0.0,0.0,524598.726723658
142,572630.3690697378,0.0,0.0,0.0,0.0,572630.3690697378
143,544995.9593506713,0.0,0.0,0.0,0.0,544995.9593506713
144,548890.855730782,0.0,0.0,0.0,0.0,548890.855730782
145,584274.0697110114,0.0,0.0,0.0,0.0,584274.0697110114
146,584274.0707094395,0.0,0.0,0.0,0.0,584274.0707094395
147,584274.0692413799,0.0,0.0,0.0,0.0,584274.0692413799
148,584274.0692527606,0.0,0.0,0.0,0.0,584274.0692527606
149,584274.0693306216,0.0,0.0,0.0,0.0,584274.0693306216
150,584274.0698638256,0.0,0.0,0.0,0.0,584274.0698638256
151,584274.0670515607,0.0,0.0,0.0,0.0,584274.0670515607
152,584274.0727447476,1060.8617134409383,0.0,0.0,0.0,585334.9344581886
153,584274.0671144468,1936.7755356888827,0.0,0.0,0.0,586210.8426501356
154,584274.0686102837,20723.867458508983,0.0,0.0,0.0,604997.9360687926
155,584274.0682323766,14491.697241449947,0.0,0.0,0.0,598765.7654738266
156,584274.0684313553,25510.493329613706,0.0,0.0,0.0,609784.561760969
157,584274.0685306315,9261.80479778799,0.0,0.0,0.0,593535.8733284195
158,584274.0733628651,15823.293891432531,0.0,0.0,0.0,600097.3672542977
159,584274.0696922821,9296.689878975045,0.0,0.0,0.0,593570.7595712572
160,584274.0694280436,-0.0,0.0,0.0,0.0,584274.0694280436
161,584274.070717727,0.0,0.0,0.0,0.0,584274.070717727
162,584274.0693824806,0.0,0.0,0.0,0.0,584274.0693824806
163,584274.0692335285,0.0,0.0,0.0,0.0,584274.0692335285
164,584274.0695993163,0.0,0.0,0.0,0.0,584274.0695993163
165,584274.0693044674,0.0,0.0,0.0,0.0,584274.0693044674
166,584274.0692648394,0.0,0.0,0.0,0.0,584274.0692648394
167,584274.070041961,0.0,0.0,0.0,0.0,584274.070041961
168,584274.0708628409,0.0,0.0,0.0,0.0,584274.0708628409
169,571925.9667153589,0.0,0.0,0.0,0.0,571925.9667153589
170,566999.8523590158,0.0,0.0,0.0,0.0,566999.8523590158
171,548017.9977047051,0.0,0.0,0.0,0.0,548017.9977047051
172,583045.3094560426,0.0,0.0,0.0,0.0,583045.3094560426
173,569964.0800442107,0.0,0.0,0.0,0.0,569964.0800442107
174,444432.8925305698,0.0,0.0,0.0,0.0,444432.8925305698
175,392315.0448421745,0.0,0.0,0.0,0.0,392315.0448421745
176,584274.0707749317,23088.528725431916,0.0,0.0,0.0,607362.5995003636
177,584274.0693567193,4055.26945836532,0.0,0.0,0.0,588329.3388150845
178,584274.0698131662,41190.60150830215,0.0,0.0,0.0,625464.6713214683
179,584274.0694470478,19192.818925122843,0.0,0.0,0.0,603466.8883721706
180,584274.0673519742,10271.28771287104,0.0,0.0,0.0,594545.3550648453
181,584274.0692965277,9498.376084117082,0.0,0.0,0.0,593772.4453806448
182,584274.069250118,4287.639123176557,0.0,0.0,0.0,588561.7083732946
183,584274.0707526115,2196.2127579595167,0.0,0.0,0.0,586470.283510571
184,584274.0674214369,-0.0,0.0,0.0,0.0,584274.0674214369
185,584274.0725229915,0.0,0.0,0.0,0.0,584274.0725229915
186,584274.0683573848,0.0,0.0,0.0,0.0,584274.0683573848
187,584274.0695589784,0.0,0.0,0.0,0.0,584274.0695589784
188,584274.0697921938,0.0,0.0,0.0,0.0,584274.0697921938
189,584274.0696605899,0.0,0.0,0.0,0.0,584274.0696605899
190,584274.069448575,0.0,0.0,0.0,0.0,584274.069448575
191,584274.0708507885,0.0,0.0,0.0,0.0,584274.0708507885
192,584274.0752086365,0.0,0.0,0.0,0.0,584274.0752086365
193,584274.07159305,0.0,0.0,0.0,0.0,584274.07159305
194,584274.0766575384,0.0,0.0,0.0,0.0,584274.0766575384
195,584274.0649845791,0.0,0.0,0.0,0.0,584274.0649845791
196,584274.0681435195,0.0,0.0,0.0,0.0,584274.0681435195
197,584274.0683101377,0.0,0.0,0.0,0.0,584274.0683101377
198,584274.0693054417,0.0,0.0,0.0,0.0,584274.0693054417
199,584274.0705277206,0.0,0.0,0.0,0.0,584274.0705277206
200,584274.0693485338,6335.418742632183,0.0,0.0,0.0,590609.4880911659
201,584274.0669792509,5007.410424374809,0.0,0.0,0.0,589281.4774036257
202,584274.0711342227,6160.228343278619,0.0,0.0,0.0,590434.2994775013
203,584274.0750620239,8431.107798029168,0.0,0.0,0.0,592705.1828600531
204,584274.070923555,9654.191491997944,0.0,0.0,0.0,593928.2624155529
205,584274.0707743078,7187.1557216221145,0.0,0.0,0.0,591461.22649593
206,583973.1521557303,2717.8900628835077,0.0,0.0,0.0,586691.0422186138
207,441201.50093998504,1893.6380087783355,0.0,0.0,0.0,443095.1389487634
208,584080.3613102521,-0.0,0.0,0.0,0.0,584080.3613102521
209,583189.8564859675,0.0,0.0,0.0,0.0,583189.8564859675
210,584274.0694777896,0.0,0.0,0.0,0.0,584274.0694777896
211,584274.0692371889,0.0,0.0,0.0,0.0,584274.0692371889
212,584274.0699979698,0.0,0.0,0.0,0.0,584274.0699979698
213,584274.0705913228,0.0,0.0,0.0,0.0,584274.0705913228
214,584274.0702364295,0.0,0.0,0.0,0.0,584274.0702364295
215,584274.0690625467,0.0,0.0,0.0,0.0,584274.0690625467
216,583436.5726939354,0.0,0.0,0.0,0.0,583436.5726939354
217,472583.9812466061,0.0,0.0,0.0,0.0,472583.9812466061
218,579310.3069199172,0.0,0.0,0.0,0.0,579310.3069199172
219,584274.0692109424,0.0,0.0,0.0,0.0,584274.0692109424
220,580316.0868230966,0.0,0.0,0.0,0.0,580316.0868230966
221,583629.5025796938,0.0,0.0,0.0,0.0,583629.5025796938
222,584274.0707848796,0.0,0.0,0.0,0.0,584274.0707848796
223,584274.0707873295,0.0,0.0,0.0,0.0,584274.0707873295
224,584274.0706082245,24669.387126617505,0.0,0.0,0.0,608943.457734842
225,584274.0703149855,16328.86963878263,0.0,0.0,0.0,600602.939953768
226,583568.572285388,12196.567416936869,0.0,0.0,0.0,595765.1397023249
227,578777.7074634667,36273.89088320691,0.0,0.0,0.0,615051.5983466735
228,549107.2976256594,35462.958036318705,0.0,0.0,0.0,584570.255661978
229,498224.9249754354,24413.38830095291,0.0,0.0,0.0,522638.31327638833
230,407976.5376194799,5033.041543621374,0.0,0.0,0.0,413009.57916310127
231,405599.42656419653,10105.079689267528,0.0,0.0,0.0,415704.50625346403
232,429419.50235863787,-0.0,0.0,0.0,0.0,429419.50235863787
233,530092.014132545,0.0,0.0,0.0,0.0,530092.014132545
234,527986.4642084299,0.0,0.0,0.0,0.0,527986.4642084299
235,558989.9141862573,0.0,0.0,0.0,0.0,558989.9141862573
236,554866.3250892445,0.0,0.0,0.0,0.0,554866.3250892445
237,420405.5948941273,0.0,0.0,0.0,0.0,420405.5948941273
238,244800.31461901465,0.0,0.0,0.0,0.0,244800.31461901465
239,0.0,0.0,68000.0,0.0,0.0,0.0
240,0.0,0.0,68000.0,0.0,0.0,0.0
241,0.0,0.0,68000.0,0.0,0.0,0.0
242,0.0,0.0,68000.0,0.0,0.0,0.0
243,0.0,0.0,68000.0,0.0,0.0,0.0
244,0.0,0.0,68000.0,0.0,0.0,0.0
