,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,0.0,0.0,68000.0,0.0,0.0,0.0
1,0.0,0.0,68000.0,0.0,0.0,0.0
2,0.0,0.0,68000.0,0.0,0.0,0.0
3,0.0,0.0,68000.0,0.0,0.0,0.0
4,0.0,0.0,68000.0,0.0,0.0,0.0
5,0.0,0.0,68000.0,0.0,0.0,0.0
6,0.0,0.0,68000.0,0.0,0.0,0.0
7,0.0,0.0,68000.0,0.0,0.0,0.0
8,3748.9103607231586,4395.011717563376,59856.07792171347,0.0,0.0,8143.922078286534
9,18776.29205546548,3502.5935190139207,45721.1144255206,0.0,0.0,22278.885574479402
10,17565.412605936308,23938.19147227662,26496.395921787072,0.0,0.0,41503.60407821293
11,0.0,19816.97140823941,48183.028591760594,0.0,0.0,19816.97140823941
12,0.0,17427.688030589543,50572.31196941045,0.0,0.0,17427.688030589543
13,0.0,11813.469131805614,56186.530868194386,0.0,0.0,11813.469131805614
14,0.0,9082.732272534306,58917.267727465696,0.0,0.0,9082.732272534306
15,40445.794038776316,3937.4465346131256,23616.75942661056,0.0,0.0,44383.24057338944
16,64328.015103709964,0.0,3671.984896290036,0.0,0.0,64328.015103709964
17,102403.37548020578,0.0,0.0,0.0,0.0,102403.37548020578
18,317602.6412032542,0.0,0.0,0.0,0.0,317602.6412032542
19,535239.5101924872,0.0,0.0,0.0,0.0,535239.5101924872
20,572531.3459923753,0.0,0.0,0.0,0.0,572531.3459923753
21,584274.0692797301,0.0,0.0,0.0,0.0,584274.0692797301
22,584274.0706097775,0.0,0.0,0.0,0.0,584274.0706097775
23,584274.0697854589,0.0,0.0,0.0,0.0,584274.0697854589
24,584274.070060592,0.0,0.0,0.0,0.0,584274.070060592
25,528185.0454880205,0.0,0.0,0.0,0.0,528185.0454880205
26,386348.2175234819,0.0,0.0,0.0,0.0,386348.2175234819
27,389865.34387938597,0.0,0.0,0.0,0.0,389865.34387938597
28,207930.966441531,0.0,0.0,0.0,0.0,207930.966441531
29,255880.9558036378,0.0,0.0,0.0,0.0,255880.9558036378
30,230784.24121903963,0.0,0.0,0.0,0.0,230784.24121903963
31,403789.24488573556,0.0,0.0,0.0,0.0,403789.24488573556
32,405505.79714830994,705.3617090671474,0.0,0.0,0.0,406211.1588573771
33,516304.1204655184,12589.845571492931,0.0,0.0,0.0,528893.9660370114
34,149852.4332209421,24373.9832609777,0.0,0.0,0.0,174226.4164819198
35,8713.328613177422,20105.474293536943,39181.197093285635,0.0,0.0,28818.802906714365
36,0.0,17848.038281158868,50151.961718841136,0.0,0.0,17848.038281158868
37,0.0,21049.590339975144,46950.40966002486,0.0,0.0,21049.590339975144
38,34972.33768888409,18810.743467338132,14216.918843777778,0.0,0.0,53783.08115622222
39,345494.4518358447,20336.33149854421,0.0,0.0,0.0,365830.7833343889
40,582670.780702783,0.0,0.0,0.0,0.0,582670.780702783
41,584274.069638791,0.0,0.0,0.0,0.0,584274.069638791
42,508619.7740412731,0.0,0.0,0.0,0.0,508619.7740412731
43,293615.9720876509,0.0,0.0,0.0,0.0,293615.9720876509
44,180412.70042834966,0.0,0.0,0.0,0.0,180412.70042834966
45,349486.92064887984,0.0,0.0,0.0,0.0,349486.92064887984
46,571872.6790068364,0.0,0.0,0.0,0.0,571872.6790068364
47,584274.0690297551,0.0,0.0,0.0,0.0,584274.0690297551
48,584274.0702694245,0.0,0.0,0.0,0.0,584274.0702694245
49,584274.0690047203,0.0,0.0,0.0,0.0,584274.0690047203
50,571802.8432877542,0.0,0.0,0.0,0.0,571802.8432877542
51,557893.3161402065,0.0,0.0,0.0,0.0,557893.3161402065
52,582139.878387648,0.0,0.0,0.0,0.0,582139.878387648
53,571836.1217334208,0.0,0.0,0.0,0.0,571836.1217334208
54,583274.0646095509,0.0,0.0,0.0,0.0,583274.0646095509
55,526591.7550515818,0.0,0.0,0.0,0.0,526591.7550515818
56,381981.38913375215,2066.827971611858,0.0,0.0,0.0,384048.217105364
57,18572.125867001338,35157.58796807189,14270.286164926772,0.0,0.0,53729.71383507323
58,0.0,25331.86836467191,42668.131635328085,0.0,0.0,25331.86836467191
59,0.0,28469.423053418668,39530.576946581336,0.0,0.0,28469.423053418668
60,0.0,25319.17944721743,42680.82055278257,0.0,0.0,25319.17944721743
61,0.0,31910.41869400928,36089.58130599072,0.0,0.0,31910.41869400928
62,0.0,35828.478910243764,32171.521089756236,0.0,0.0,35828.478910243764
63,2591.637500918471,1912.7011860039786,63495.66131307755,0.0,0.0,4504.33868692245
64,118648.02602230536,0.0,0.0,0.0,0.0,118648.02602230536
65,253621.23970914556,0.0,0.0,0.0,0.0,253621.23970914556
66,300937.54984908865,0.0,0.0,0.0,0.0,300937.54984908865
67,353191.5560388746,0.0,0.0,0.0,0.0,353191.5560388746
68,155477.3547290158,0.0,0.0,0.0,0.0,155477.3547290158
69,118148.24746330021,0.0,0.0,0.0,0.0,118148.24746330021
70,71259.02393994552,0.0,0.0,0.0,0.0,71259.02393994552
71,70306.69931483311,0.0,0.0,0.0,0.0,70306.69931483311
72,349197.3419233509,0.0,0.0,0.0,0.0,349197.3419233509
73,308986.5689005895,0.0,0.0,0.0,0.0,308986.5689005895
74,204625.19725366696,0.0,0.0,0.0,0.0,204625.19725366696
75,168917.82452776967,0.0,0.0,0.0,0.0,168917.82452776967
76,379106.22833658085,0.0,0.0,0.0,0.0,379106.22833658085
77,252538.1500994196,0.0,0.0,0.0,0.0,252538.1500994196
78,126171.38337332566,0.0,0.0,0.0,0.0,126171.38337332566
79,87167.0722419867,0.0,0.0,0.0,0.0,87167.0722419867
80,20974.69008817059,-0.0,47025.309911829405,0.0,0.0,20974.69008817059
81,61813.26200071193,333.09861688134225,5853.639382406727,0.0,0.0,62146.36061759327
82,55149.86963613511,1629.3811321871192,11220.749231677772,0.0,0.0,56779.25076832223
83,34390.0181756254,2383.171978232782,31226.809846141812,0.0,0.0,36773.19015385819
84,17875.263794195762,4346.473645682223,45778.26256012201,0.0,0.0,22221.737439877987
85,33734.41899229012,578.399608308988,33687.18139940089,0.0,0.0,34312.81860059911
86,78370.68943470808,2064.633728726614,0.0,0.0,0.0,80435.32316343469
87,104061.57019375054,1874.911901010983,0.0,0.0,0.0,105936.48209476152
88,238039.57376952237,0.0,0.0,0.0,0.0,238039.57376952237
89,250238.99474005605,0.0,0.0,0.0,0.0,250238.99474005605
90,470950.5018271619,0.0,0.0,0.0,0.0,470950.5018271619
91,583066.252755823,0.0,0.0,0.0,0.0,583066.252755823
92,584274.0693420258,0.0,0.0,0.0,0.0,584274.0693420258
93,584274.0702410183,0.0,0.0,0.0,0.0,584274.0702410183
94,584274.0698989215,0.0,0.0,0.0,0.0,584274.0698989215
95,584274.0708580741,0.0,0.0,0.0,0.0,584274.0708580741
96,584274.070856948,0.0,0.0,0.0,0.0,584274.070856948
97,584274.0702559892,0.0,0.0,0.0,0.0,584274.0702559892
98,580109.5554578997,0.0,0.0,0.0,0.0,580109.5554578997
99,534662.831094351,0.0,0.0,0.0,0.0,534662.831094351
100,447592.4849428057,0.0,0.0,0.0,0.0,447592.4849428057
101,552241.6162804906,0.0,0.0,0.0,0.0,552241.6162804906
102,235424.8147406102,0.0,0.0,0.0,0.0,235424.8147406102
103,307714.0131522961,0.0,0.0,0.0,0.0,307714.0131522961
104,584274.0703290079,-0.0,0.0,0.0,0.0,584274.0703290079
105,569851.8957269477,276.6938715386233,0.0,0.0,0.0,570128.5895984863
106,395492.2567986894,1196.487163558969,0.0,0.0,0.0,396688.7439622484
107,109588.16534964311,2026.527007247446,0.0,0.0,0.0,111614.69235689056
108,56286.676766887824,3702.8648646354386,8010.458368476735,0.0,0.0,59989.541631523265
109,78347.91704950045,2022.2029265556005,0.0,0.0,0.0,80370.11997605606
110,166691.16781540104,943.3805051227937,0.0,0.0,0.0,167634.54832052384
111,446261.61910562916,840.6190337356906,0.0,0.0,0.0,447102.23813936487
112,255514.27300548195,0.0,0.0,0.0,0.0,255514.27300548195
113,221678.45397100112,0.0,0.0,0.0,0.0,221678.45397100112
114,341793.9923028723,0.0,0.0,0.0,0.0,341793.9923028723
115,584274.0708453469,0.0,0.0,0.0,0.0,584274.0708453469
116,584274.0697580741,0.0,0.0,0.0,0.0,584274.0697580741
117,584274.0697300012,0.0,0.0,0.0,0.0,584274.0697300012
118,584274.070219307,0.0,0.0,0.0,0.0,584274.070219307
119,231147.39244325424,0.0,0.0,0.0,0.0,231147.39244325424
120,115290.12765864428,0.0,0.0,0.0,0.0,115290.12765864428
121,130951.02106763136,0.0,0.0,0.0,0.0,130951.02106763136
122,190845.76110513593,0.0,0.0,0.0,0.0,190845.76110513593
123,160155.09094386004,0.0,0.0,0.0,0.0,160155.09094386004
124,106984.84546149569,0.0,0.0,0.0,0.0,106984.84546149569
125,199743.834459983,0.0,0.0,0.0,0.0,199743.834459983
126,341104.3689163561,0.0,0.0,0.0,0.0,341104.3689163561
127,575602.7154614205,0.0,0.0,0.0,0.0,575602.7154614205
128,584274.0705934485,209.7509022406734,0.0,0.0,0.0,584483.8214956891
129,584274.070832203,1734.0734705432656,0.0,0.0,0.0,586008.1443027463
130,584274.0692492059,1819.8196753878099,0.0,0.0,0.0,586093.8889245937
131,584274.0705886943,5828.172183148331,0.0,0.0,0.0,590102.2427718426
132,584274.07048105,2124.4430643273936,0.0,0.0,0.0,586398.5135453773
133,584274.07024912,3181.5389409950317,0.0,0.0,0.0,587455.609190115
134,582953.9076824016,3338.0143697080007,0.0,0.0,0.0,586291.9220521096
135,580073.7663157708,379.60182055230194,0.0,0.0,0.0,580453.368136323
136,579490.7978502383,-0.0,0.0,0.0,0.0,579490.7978502383
137,584274.0708183832,0.0,0.0,0.0,0.0,584274.0708183832
138,584274.0692315154,0.0,0.0,0.0,0.0,584274.0692315154
139,584274.0694568891,0.0,0.0,0.0,0.0,584274.0694568891
140,584274.0702690507,0.0,0.0,0.0,0.0,584274.0702690507
141,584274.0672987819,0.0,0.0,0.0,0.0,584274.0672987819
142,584274.0691368341,0.0,0.0,0.0,0.0,584274.0691368341
143,584274.0703762652,0.0,0.0,0.0,0.0,584274.0703762652
144,467314.40195400256,0.0,0.0,0.0,0.0,467314.40195400256
145,185217.68451869054,0.0,0.0,0.0,0.0,185217.68451869054
146,350652.1976784159,0.0,0.0,0.0,0.0,350652.1976784159
147,568357.1754971987,0.0,0.0,0.0,0.0,568357.1754971987
148,554513.9635625719,0.0,0.0,0.0,0.0,554513.9635625719
149,342316.83912117605,0.0,0.0,0.0,0.0,342316.83912117605
150,214262.7736958585,0.0,0.0,0.0,0.0,214262.7736958585
151,288316.81384954264,0.0,0.0,0.0,0.0,288316.81384954264
152,584274.0693095566,101.2543516139178,0.0,0.0,0.0,584375.3236611706
153,584274.0701389316,926.6003755061259,0.0,0.0,0.0,585200.6705144377
154,584274.0708585879,4919.072389303817,0.0,0.0,0.0,589193.1432478917
155,584274.0707819522,8942.22704200412,0.0,0.0,0.0,593216.2978239564
156,577153.9494960316,14867.319602892374,0.0,0.0,0.0,592021.269098924
157,508890.792476883,17724.231214015104,0.0,0.0,0.0,526615.0236908981
158,583868.881005827,16286.02631822855,0.0,0.0,0.0,600154.9073240556
159,147994.18210885473,4821.254718966776,0.0,0.0,0.0,152815.4368278215
160,142241.49550653988,-0.0,0.0,0.0,0.0,142241.49550653988
161,140825.42319046802,0.0,0.0,0.0,0.0,140825.42319046802
162,98880.96379307052,0.0,0.0,0.0,0.0,98880.96379307052
163,89067.28746492864,0.0,0.0,0.0,0.0,89067.28746492864
164,217231.18148257944,0.0,0.0,0.0,0.0,217231.18148257944
165,182743.5122818985,0.0,0.0,0.0,0.0,182743.5122818985
166,95430.8155738643,0.0,0.0,0.0,0.0,95430.8155738643
167,0.0,0.0,68000.0,0.0,0.0,0.0
168,0.0,0.0,68000.0,0.0,0.0,0.0
169,0.0,0.0,68000.0,0.0,0.0,0.0
170,101573.19564150753,0.0,0.0,0.0,0.0,101573.19564150753
171,20005.843247385612,0.0,47994.15675261439,0.0,0.0,20005.843247385612
172,49707.03494034319,0.0,18292.96505965681,0.0,0.0,49707.03494034319
173,107396.27795319608,0.0,0.0,0.0,0.0,107396.27795319608
174,105944.27553560126,0.0,0.0,0.0,0.0,105944.27553560126
175,327537.7858475912,0.0,0.0,0.0,0.0,327537.7858475912
176,344246.16819734295,-0.0,0.0,0.0,0.0,344246.16819734295
177,280231.50927319477,689.2658410853705,0.0,0.0,0.0,280920.7751142801
178,272448.63190226996,1384.987793019873,0.0,0.0,0.0,273833.6196952898
179,412351.24021593796,2239.765334237424,0.0,0.0,0.0,414591.0055501754
180,566421.6318220926,1408.8590110028897,0.0,0.0,0.0,567830.4908330955
181,570170.9830183006,1282.6016021859416,0.0,0.0,0.0,571453.5846204866
182,428499.81497989135,2204.7646359456467,0.0,0.0,0.0,430704.579615837
183,171562.99745010282,730.545330679644,0.0,0.0,0.0,172293.54278078247
184,228835.8408963499,-0.0,0.0,0.0,0.0,228835.8408963499
185,532989.1112695314,0.0,0.0,0.0,0.0,532989.1112695314
186,405121.1287706794,0.0,0.0,0.0,0.0,405121.1287706794
187,538783.9572114506,0.0,0.0,0.0,0.0,538783.9572114506
188,584274.0692219926,0.0,0.0,0.0,0.0,584274.0692219926
189,584274.0693107019,0.0,0.0,0.0,0.0,584274.0693107019
190,584274.069606937,0.0,0.0,0.0,0.0,584274.069606937
191,584274.0694037764,0.0,0.0,0.0,0.0,584274.0694037764
192,584274.070376317,0.0,0.0,0.0,0.0,584274.070376317
193,584274.0700610038,0.0,0.0,0.0,0.0,584274.0700610038
194,584274.0694735176,0.0,0.0,0.0,0.0,584274.0694735176
195,584274.0707574293,0.0,0.0,0.0,0.0,584274.0707574293
196,584274.0706039444,0.0,0.0,0.0,0.0,584274.0706039444
197,584274.0707197821,0.0,0.0,0.0,0.0,584274.0707197821
198,520411.4233343052,0.0,0.0,0.0,0.0,520411.4233343052
199,532021.4759026015,0.0,0.0,0.0,0.0,532021.4759026015
200,576725.2176571047,208.6604723781778,0.0,0.0,0.0,576933.8781294829
201,515279.3990993484,1604.257807650908,0.0,0.0,0.0,516883.6569069993
202,531332.7055615701,9427.236099309222,0.0,0.0,0.0,540759.9416608793
203,406105.52701736626,12382.952052423483,0.0,0.0,0.0,418488.47906978976
204,314551.0717904664,19444.5962192155,0.0,0.0,0.0,333995.66800968186
205,532917.219036856,17394.040160995355,0.0,0.0,0.0,550311.2591978513
206,539390.6402681557,5028.890612430213,0.0,0.0,0.0,544419.5308805859
207,508681.7510736252,1698.489510985306,0.0,0.0,0.0,510380.2405846105
208,583121.6418601671,-0.0,0.0,0.0,0.0,583121.6418601671
209,483619.1279710457,0.0,0.0,0.0,0.0,483619.1279710457
210,127471.16301028572,0.0,0.0,0.0,0.0,127471.16301028572
211,43597.42983250999,0.0,24402.570167490012,0.0,0.0,43597.42983250999
212,0.0,0.0,68000.0,0.0,0.0,0.0
213,9783.18998997789,0.0,58216.81001002211,0.0,0.0,9783.18998997789
214,0.0,0.0,68000.0,0.0,0.0,0.0
215,141762.35137064758,0.0,0.0,0.0,0.0,141762.35137064758
216,293003.0051062019,0.0,0.0,0.0,0.0,293003.0051062019
217,107598.22149445342,0.0,0.0,0.0,0.0,107598.22149445342
218,0.0,0.0,68000.0,0.0,0.0,0.0
219,13838.676891825315,0.0,54161.323108174685,0.0,0.0,13838.676891825315
220,3171.0508380015776,0.0,64828.949161998426,0.0,0.0,3171.0508380015776
221,24534.214022349865,0.0,43465.785977650135,0.0,0.0,24534.214022349865
222,7989.450436390888,0.0,60010.549563609115,0.0,0.0,7989.450436390888
223,432094.9913225273,0.0,0.0,0.0,0.0,432094.9913225273
224,121232.16306344241,-0.0,0.0,0.0,0.0,121232.16306344241
225,156541.7961672295,219.59043494176626,0.0,0.0,0.0,156761.38660217126
226,111108.13567930936,2220.3225094508907,0.0,0.0,0.0,113328.45818876025
227,11708.779265855983,2686.006643069884,53605.21409107413,0.0,0.0,14394.785908925867
228,0.0,3819.216518685528,64180.78348131447,0.0,0.0,3819.216518685528
229,0.0,9227.326974788697,58772.673025211305,0.0,0.0,9227.326974788697
230,0.0,17656.663073476062,50343.33692652394,0.0,0.0,17656.663073476062
231,1349.2463580115918,11271.294517874225,55379.45912411418,0.0,0.0,12620.540875885818
232,13908.235521490788,-0.0,54091.76447850921,0.0,0.0,13908.235521490788
233,61559.55209916966,0.0,6440.447900830339,0.0,0.0,61559.55209916966
234,200533.67000888995,0.0,0.0,0.0,0.0,200533.67000888995
235,561640.3558769623,0.0,0.0,0.0,0.0,561640.3558769623
