,Wind [kWh],Solar [kWh],Shortfall [kWh],Curtailed [kWh],Battery Dispatched [kWh],Total RE Plant Power [kWh]
0,549682.5777400589,0.0,0.0,0.0,0.0,549682.5777400589
1,574319.8003695181,0.0,0.0,0.0,0.0,574319.8003695181
2,583884.9653557836,0.0,0.0,0.0,0.0,583884.9653557836
3,583613.0781222585,0.0,0.0,0.0,0.0,583613.0781222585
4,583634.5902404939,0.0,0.0,0.0,0.0,583634.5902404939
5,583528.5029226734,0.0,0.0,0.0,0.0,583528.5029226734
6,583822.5863139103,0.0,0.0,0.0,0.0,583822.5863139103
7,583572.0677952755,-0.0,0.0,0.0,0.0,583572.0677952755
8,579563.986652449,1587.084312030733,0.0,0.0,0.0,581151.0709644797
9,383334.1824684383,48889.105673873455,0.0,0.0,0.0,432223.28814231174
10,174108.17378553972,45173.576567877586,0.0,0.0,0.0,219281.7503534173
11,147863.13655578913,37932.12317206683,0.0,0.0,0.0,185795.25972785597
12,153085.11359685982,39097.44174580892,0.0,0.0,0.0,192182.55534266875
13,165325.14514716523,47400.180959400794,0.0,0.0,0.0,212725.326106566
14,244835.43049100283,49169.671404734836,0.0,0.0,0.0,294005.1018957377
15,294095.9494586096,24882.032613886262,0.0,0.0,0.0,318977.9820724959
16,572043.8697852158,0.0,0.0,0.0,0.0,572043.8697852158
17,584198.8232156218,0.0,0.0,0.0,0.0,584198.8232156218
18,584274.0695576706,0.0,0.0,0.0,0.0,584274.0695576706
19,583391.7892870398,0.0,0.0,0.0,0.0,583391.7892870398
20,584274.0699484734,0.0,0.0,0.0,0.0,584274.0699484734
21,584274.0691256861,0.0,0.0,0.0,0.0,584274.0691256861
22,583490.6700095295,0.0,0.0,0.0,0.0,583490.6700095295
23,580181.3071683294,0.0,0.0,0.0,0.0,580181.3071683294
24,583027.0826930933,0.0,0.0,0.0,0.0,583027.0826930933
25,581049.3091875359,0.0,0.0,0.0,0.0,581049.3091875359
26,575574.2195279264,0.0,0.0,0.0,0.0,575574.2195279264
27,564158.8832603566,0.0,0.0,0.0,0.0,564158.8832603566
28,546983.0481003684,0.0,0.0,0.0,0.0,546983.0481003684
29,526594.5392566173,0.0,0.0,0.0,0.0,526594.5392566173
30,484963.27568949416,0.0,0.0,0.0,0.0,484963.27568949416
